s1,s2,corr
cffex.IC0000,dce.pp0000,0.19923314780457635
cffex.IC0000,dce.cs0000,0.173469387755102
cffex.IC0000,cffex.IF0000,0.15078540507111937
cffex.IC0000,czce.SF000,0.13857761286332715
cffex.IC0000,shfe.pb0000,0.1279035250463822
cffex.IC0000,cffex.TF0000,0.12758194186765612
cffex.IC0000,czce.ZC000,0.11813234384662956
cffex.IC0000,czce.OI000,0.11732838589981445
cffex.IC0000,dce.m0000,0.11338280766852195
cffex.IC0000,dce.jd0000,0.09558441558441556
cffex.IC0000,dce.b0000,0.08801484230055658
cffex.IC0000,dce.i0000,0.07745207173778601
cffex.IC0000,czce.SM000,0.07153988868274581
cffex.IC0000,dce.y0000,0.05459492888064316
cffex.IC0000,czce.WH000,0.051304885590599876
cffex.IC0000,czce.AP000,0.03637600494743352
cffex.IC0000,dce.jm0000,0.03501546072974644
cffex.IC0000,czce.SR000,0.025132962275819418
cffex.IC0000,dce.v0000,0.018775510204081632
cffex.IC0000,shfe.rb0000,0.015782312925170065
cffex.IC0000,dce.l0000,0.0137291280148423
cffex.IC0000,shfe.zn0000,0.0035621521335807045
cffex.IC0000,czce.CF000,-0.0021768707482993197
cffex.IC0000,shfe.bu0000,-0.005343228200371058
cffex.IC0000,shfe.ru0000,-0.009029066171923315
cffex.IC0000,shfe.cu0000,-0.009610389610389609
cffex.IC0000,shfe.hc0000,-0.026196660482374765
cffex.IC0000,shfe.ni0000,-0.027470624613481754
cffex.IC0000,shfe.sn0000,-0.04879406307977737
cffex.IC0000,dce.c0000,-0.05104514533085961
cffex.IC0000,dce.p0000,-0.060432900432900435
cffex.IC0000,shfe.al0000,-0.06494743351886208
cffex.IC0000,czce.MA000,-0.06675324675324674
cffex.IC0000,shfe.ag0000,-0.07297464440321583
cffex.IC0000,czce.TA000,-0.10376004947433518
cffex.IC0000,dce.a0000,-0.12489795918367345
cffex.IC0000,shfe.au0000,-0.1372418058132344
cffex.IC0000,dce.j0000,-0.14803957946815086
cffex.IC0000,cffex.T0000,-0.14818800247371675
cffex.IC0000,czce.FG000,-0.1705751391465677
cffex.IC0000,czce.RM000,-0.23173778602350031
cffex.IC0000,cffex.IH0000,-0.24796536796536794
cffex.IC0000,czce.CJ000,-9999.0
cffex.IC0000,cffex.TS0000,-9999.0
cffex.IC0000,ine.sc0000,-9999.0
cffex.IC0000,shfe.fu0000,-9999.0
cffex.IC0000,shfe.sp0000,-9999.0
cffex.IC0000,dce.fb0000,-9999.0
cffex.IC0000,shfe.wr0000,-9999.0
cffex.IC0000,dce.eg0000,-9999.0
cffex.IC0000,czce.CY000,-9999.0
cffex.IC0000,czce.RI000,-9999.0
cffex.IC0000,czce.PM000,-9999.0
cffex.IC0000,dce.bb0000,-9999.0
cffex.IC0000,czce.LR000,-9999.0
cffex.IC0000,czce.JR000,-9999.0
cffex.IC0000,czce.RS000,-9999.0
