s1,s2,corr
cffex.IH0000,czce.CF000,0.28481137909709336
cffex.IH0000,dce.a0000,0.2210142238713667
cffex.IH0000,shfe.au0000,0.1307730364873222
cffex.IH0000,czce.SR000,0.10441558441558442
cffex.IH0000,czce.ZC000,0.1034755720470006
cffex.IH0000,dce.i0000,0.08667903525046382
cffex.IH0000,shfe.hc0000,0.07837971552257265
cffex.IH0000,dce.b0000,0.07485466914038343
cffex.IH0000,dce.jm0000,0.0707482993197279
cffex.IH0000,dce.v0000,0.06752009894867037
cffex.IH0000,czce.OI000,0.06719851576994433
cffex.IH0000,cffex.T0000,0.06525664811379096
cffex.IH0000,shfe.ag0000,0.06520717377860234
cffex.IH0000,dce.j0000,0.04247371675943104
cffex.IH0000,dce.jd0000,0.04051948051948051
cffex.IH0000,cffex.IF0000,0.03992578849721707
cffex.IH0000,shfe.ni0000,0.038293135435992574
cffex.IH0000,dce.p0000,0.03670995670995671
cffex.IH0000,shfe.al0000,0.027717996289424857
cffex.IH0000,shfe.sn0000,0.0028447742733457015
cffex.IH0000,dce.c0000,-0.00013605442176870748
cffex.IH0000,dce.l0000,-0.001929499072356215
cffex.IH0000,dce.y0000,-0.019369202226345084
cffex.IH0000,shfe.ru0000,-0.030389610389610387
cffex.IH0000,czce.RM000,-0.04755720470006184
cffex.IH0000,czce.SM000,-0.05022881880024738
cffex.IH0000,czce.WH000,-0.050624613481756335
cffex.IH0000,dce.m0000,-0.052331478045763755
cffex.IH0000,dce.pp0000,-0.055126777983920836
cffex.IH0000,shfe.zn0000,-0.06241187384044527
cffex.IH0000,czce.FG000,-0.06822510822510823
cffex.IH0000,czce.AP000,-0.07121830550401978
cffex.IH0000,czce.TA000,-0.07481756338899194
cffex.IH0000,shfe.cu0000,-0.07923314780457638
cffex.IH0000,czce.MA000,-0.08959802102659245
cffex.IH0000,czce.SF000,-0.11830550401978972
cffex.IH0000,dce.cs0000,-0.12136054421768706
cffex.IH0000,shfe.pb0000,-0.1284230055658627
cffex.IH0000,shfe.rb0000,-0.1404700061842919
cffex.IH0000,cffex.TF0000,-0.15259121830550398
cffex.IH0000,shfe.bu0000,-0.2004081632653061
cffex.IH0000,cffex.IC0000,-0.24796536796536794
cffex.IH0000,czce.RI000,-9999.0
cffex.IH0000,czce.PM000,-9999.0
cffex.IH0000,czce.RS000,-9999.0
cffex.IH0000,czce.LR000,-9999.0
cffex.IH0000,dce.bb0000,-9999.0
cffex.IH0000,czce.CY000,-9999.0
cffex.IH0000,czce.CJ000,-9999.0
cffex.IH0000,shfe.sp0000,-9999.0
cffex.IH0000,shfe.fu0000,-9999.0
cffex.IH0000,ine.sc0000,-9999.0
cffex.IH0000,cffex.TS0000,-9999.0
cffex.IH0000,shfe.wr0000,-9999.0
cffex.IH0000,dce.eg0000,-9999.0
cffex.IH0000,dce.fb0000,-9999.0
cffex.IH0000,czce.JR000,-9999.0
