s1,s2,corr
cffex.T0000,czce.AP000,0.20556586270871982
cffex.T0000,shfe.ag0000,0.18826221397649967
cffex.T0000,shfe.ru0000,0.12575139146567715
cffex.T0000,dce.i0000,0.1209647495361781
cffex.T0000,czce.MA000,0.11576994434137292
cffex.T0000,dce.jd0000,0.08962275819418676
cffex.T0000,dce.a0000,0.0840074211502783
cffex.T0000,czce.SR000,0.07823129251700679
cffex.T0000,cffex.IH0000,0.06525664811379096
cffex.T0000,czce.ZC000,0.06441558441558441
cffex.T0000,dce.m0000,0.06091527520098949
cffex.T0000,shfe.au0000,0.06055658627087198
cffex.T0000,czce.TA000,0.057773654916512054
cffex.T0000,dce.j0000,0.05614100185528757
cffex.T0000,czce.CF000,0.054669140383426094
cffex.T0000,shfe.zn0000,0.051267779839208404
cffex.T0000,dce.p0000,0.05001855287569573
cffex.T0000,shfe.hc0000,0.04863327149041434
cffex.T0000,czce.OI000,0.03884972170686456
cffex.T0000,dce.jm0000,0.03116883116883117
cffex.T0000,shfe.rb0000,0.023116883116883116
cffex.T0000,czce.FG000,0.016982065553494127
cffex.T0000,shfe.al0000,0.016462585034013603
cffex.T0000,cffex.TF0000,0.011168831168831168
cffex.T0000,czce.RM000,-0.0003834260977118119
cffex.T0000,dce.y0000,-0.005664811379097094
cffex.T0000,czce.WH000,-0.00714904143475572
cffex.T0000,czce.SM000,-0.009981447124304267
cffex.T0000,cffex.IF0000,-0.011069882498453927
cffex.T0000,shfe.ni0000,-0.037241805813234385
cffex.T0000,dce.l0000,-0.042115027829313534
cffex.T0000,shfe.cu0000,-0.05516388373531231
cffex.T0000,shfe.bu0000,-0.06351267779839208
cffex.T0000,shfe.sn0000,-0.06421768707482993
cffex.T0000,dce.v0000,-0.06963512677798392
cffex.T0000,dce.cs0000,-0.09804576376004948
cffex.T0000,czce.SF000,-0.10853432282003708
cffex.T0000,dce.c0000,-0.11298701298701298
cffex.T0000,cffex.IC0000,-0.14818800247371675
cffex.T0000,dce.b0000,-0.1686703772418058
cffex.T0000,shfe.pb0000,-0.22278293135435992
cffex.T0000,dce.pp0000,-0.2426468769325912
cffex.T0000,shfe.fu0000,-9999.0
cffex.T0000,ine.sc0000,-9999.0
cffex.T0000,cffex.TS0000,-9999.0
cffex.T0000,dce.fb0000,-9999.0
cffex.T0000,czce.RS000,-9999.0
cffex.T0000,czce.RI000,-9999.0
cffex.T0000,czce.PM000,-9999.0
cffex.T0000,czce.LR000,-9999.0
cffex.T0000,czce.CY000,-9999.0
cffex.T0000,czce.CJ000,-9999.0
cffex.T0000,shfe.sp0000,-9999.0
cffex.T0000,shfe.wr0000,-9999.0
cffex.T0000,dce.eg0000,-9999.0
cffex.T0000,dce.bb0000,-9999.0
cffex.T0000,czce.JR000,-9999.0
