s1,s2,corr
cffex.TF0000,dce.m0000,0.20818800247371677
cffex.TF0000,dce.jd0000,0.1810513296227582
cffex.TF0000,shfe.cu0000,0.16846011131725414
cffex.TF0000,cffex.IC0000,0.12758194186765612
cffex.TF0000,czce.AP000,0.11329622758194187
cffex.TF0000,shfe.ru0000,0.094582560296846
cffex.TF0000,shfe.sn0000,0.09294990723562152
cffex.TF0000,dce.j0000,0.08173160173160172
cffex.TF0000,czce.WH000,0.07393939393939394
cffex.TF0000,dce.a0000,0.07120593692022263
cffex.TF0000,czce.SF000,0.06988249845392701
cffex.TF0000,czce.RM000,0.06451453308596165
cffex.TF0000,czce.CF000,0.06063079777365491
cffex.TF0000,dce.cs0000,0.04625850340136054
cffex.TF0000,shfe.bu0000,0.04081632653061224
cffex.TF0000,czce.MA000,0.024922696351267773
cffex.TF0000,shfe.rb0000,0.02400742115027829
cffex.TF0000,shfe.al0000,0.02108843537414966
cffex.TF0000,shfe.zn0000,0.02059369202226345
cffex.TF0000,dce.l0000,0.014446505875077304
cffex.TF0000,czce.ZC000,0.011663574520717377
cffex.TF0000,cffex.T0000,0.011168831168831168
cffex.TF0000,czce.OI000,0.005207173778602349
cffex.TF0000,czce.SR000,0.0014471243042671613
cffex.TF0000,czce.SM000,-0.010092764378478662
cffex.TF0000,shfe.au0000,-0.012653061224489797
cffex.TF0000,dce.b0000,-0.02502164502164502
cffex.TF0000,dce.pp0000,-0.026592455163883737
cffex.TF0000,shfe.hc0000,-0.038441558441558436
cffex.TF0000,dce.i0000,-0.045516388373531225
cffex.TF0000,dce.p0000,-0.04996907854050711
cffex.TF0000,cffex.IF0000,-0.05814471243042671
cffex.TF0000,dce.jm0000,-0.06350030921459493
cffex.TF0000,dce.c0000,-0.06672850958565243
cffex.TF0000,dce.v0000,-0.07604205318491034
cffex.TF0000,shfe.pb0000,-0.0777612863327149
cffex.TF0000,dce.y0000,-0.07909709338280767
cffex.TF0000,czce.FG000,-0.08405689548546691
cffex.TF0000,czce.TA000,-0.09153988868274582
cffex.TF0000,shfe.ni0000,-0.12583797155225723
cffex.TF0000,cffex.IH0000,-0.15259121830550398
cffex.TF0000,shfe.ag0000,-0.21348175633889915
cffex.TF0000,czce.RI000,-9999.0
cffex.TF0000,dce.fb0000,-9999.0
cffex.TF0000,czce.PM000,-9999.0
cffex.TF0000,dce.eg0000,-9999.0
cffex.TF0000,shfe.wr0000,-9999.0
cffex.TF0000,shfe.sp0000,-9999.0
cffex.TF0000,dce.bb0000,-9999.0
cffex.TF0000,czce.LR000,-9999.0
cffex.TF0000,czce.JR000,-9999.0
cffex.TF0000,ine.sc0000,-9999.0
cffex.TF0000,cffex.TS0000,-9999.0
cffex.TF0000,shfe.fu0000,-9999.0
cffex.TF0000,czce.CY000,-9999.0
cffex.TF0000,czce.CJ000,-9999.0
cffex.TF0000,czce.RS000,-9999.0
