s1,s2,corr
czce.AP000,shfe.hc0000,0.27960420531849106
czce.AP000,cffex.T0000,0.20556586270871982
czce.AP000,dce.v0000,0.19219542362399503
czce.AP000,shfe.ru0000,0.1631787260358689
czce.AP000,shfe.rb0000,0.14059369202226343
czce.AP000,czce.ZC000,0.13414965986394556
czce.AP000,czce.MA000,0.13319727891156463
czce.AP000,dce.j0000,0.13004329004329004
czce.AP000,dce.a0000,0.12479901051329623
czce.AP000,cffex.TF0000,0.11329622758194187
czce.AP000,czce.SF000,0.09470624613481757
czce.AP000,czce.SR000,0.09212121212121212
czce.AP000,czce.RM000,0.08282003710575139
czce.AP000,dce.l0000,0.05887445887445887
czce.AP000,dce.jd0000,0.05111935683364254
czce.AP000,cffex.IC0000,0.03637600494743352
czce.AP000,dce.i0000,0.03606679035250464
czce.AP000,shfe.au0000,0.016066790352504638
czce.AP000,czce.CF000,0.014434137291280149
czce.AP000,shfe.sn0000,0.001805813234384663
czce.AP000,shfe.pb0000,0.0006307977736549164
czce.AP000,shfe.zn0000,-0.0013852813852813853
czce.AP000,dce.jm0000,-0.005293753865182436
czce.AP000,dce.c0000,-0.0058008658008658
czce.AP000,czce.WH000,-0.01323438466295609
czce.AP000,cffex.IF0000,-0.017847866419294988
czce.AP000,dce.m0000,-0.020766852195423624
czce.AP000,shfe.cu0000,-0.023995052566481136
czce.AP000,czce.OI000,-0.04262213976499691
czce.AP000,shfe.ni0000,-0.04646876932591218
czce.AP000,dce.cs0000,-0.050797773654916514
czce.AP000,dce.b0000,-0.054421768707482984
czce.AP000,czce.TA000,-0.05473098330241186
czce.AP000,dce.y0000,-0.05856524427952999
czce.AP000,dce.p0000,-0.05899814471243042
czce.AP000,shfe.bu0000,-0.061286332714904135
czce.AP000,czce.SM000,-0.06293135435992579
czce.AP000,cffex.IH0000,-0.07121830550401978
czce.AP000,shfe.ag0000,-0.08636982065553495
czce.AP000,dce.pp0000,-0.09546072974644404
czce.AP000,czce.FG000,-0.13511440940012368
czce.AP000,shfe.al0000,-0.21130488559059987
czce.AP000,czce.RI000,-9999.0
czce.AP000,czce.PM000,-9999.0
czce.AP000,czce.RS000,-9999.0
czce.AP000,czce.CJ000,-9999.0
czce.AP000,czce.JR000,-9999.0
czce.AP000,dce.fb0000,-9999.0
czce.AP000,dce.eg0000,-9999.0
czce.AP000,shfe.wr0000,-9999.0
czce.AP000,ine.sc0000,-9999.0
czce.AP000,cffex.TS0000,-9999.0
czce.AP000,shfe.sp0000,-9999.0
czce.AP000,shfe.fu0000,-9999.0
czce.AP000,czce.CY000,-9999.0
czce.AP000,czce.LR000,-9999.0
czce.AP000,dce.bb0000,-9999.0
