s1,s2,corr
czce.CF000,shfe.al0000,0.30688930117501545
czce.CF000,cffex.IH0000,0.28481137909709336
czce.CF000,dce.v0000,0.22335188620902904
czce.CF000,czce.ZC000,0.19001855287569572
czce.CF000,dce.j0000,0.16551638837353122
czce.CF000,dce.i0000,0.15548546691403833
czce.CF000,czce.SF000,0.14216450216450216
czce.CF000,cffex.IF0000,0.1370686456400742
czce.CF000,dce.pp0000,0.13575757575757574
czce.CF000,czce.SR000,0.11915893630179343
czce.CF000,czce.TA000,0.10409400123685839
czce.CF000,shfe.hc0000,0.09427334570191713
czce.CF000,shfe.sn0000,0.0932838589981447
czce.CF000,shfe.cu0000,0.08801484230055658
czce.CF000,dce.l0000,0.080717377860235
czce.CF000,czce.FG000,0.06493506493506493
czce.CF000,cffex.TF0000,0.06063079777365491
czce.CF000,cffex.T0000,0.054669140383426094
czce.CF000,shfe.ag0000,0.051490414347557203
czce.CF000,czce.OI000,0.02989486703772418
czce.CF000,dce.b0000,0.029672232529375384
czce.CF000,czce.WH000,0.018243661100803957
czce.CF000,dce.cs0000,0.01772418058132344
czce.CF000,shfe.au0000,0.016066790352504638
czce.CF000,czce.AP000,0.014434137291280149
czce.CF000,shfe.bu0000,0.01429808286951144
czce.CF000,cffex.IC0000,-0.0021768707482993197
czce.CF000,dce.jd0000,-0.002288188002473716
czce.CF000,shfe.zn0000,-0.006493506493506493
czce.CF000,shfe.ni0000,-0.006876932591218305
czce.CF000,dce.c0000,-0.016029684601113172
czce.CF000,dce.jm0000,-0.017291280148423002
czce.CF000,czce.RM000,-0.017316017316017313
czce.CF000,dce.p0000,-0.020865800865800862
czce.CF000,czce.SM000,-0.02352504638218924
czce.CF000,dce.y0000,-0.026617192331478044
czce.CF000,shfe.ru0000,-0.027940630797773654
czce.CF000,dce.a0000,-0.029981447124304263
czce.CF000,shfe.rb0000,-0.0311317254174397
czce.CF000,dce.m0000,-0.0729004329004329
czce.CF000,czce.MA000,-0.1272603586889301
czce.CF000,shfe.pb0000,-0.1832034632034632
czce.CF000,czce.PM000,-9999.0
czce.CF000,shfe.fu0000,-9999.0
czce.CF000,czce.JR000,-9999.0
czce.CF000,czce.LR000,-9999.0
czce.CF000,cffex.TS0000,-9999.0
czce.CF000,ine.sc0000,-9999.0
czce.CF000,shfe.sp0000,-9999.0
czce.CF000,czce.RI000,-9999.0
czce.CF000,shfe.wr0000,-9999.0
czce.CF000,dce.eg0000,-9999.0
czce.CF000,czce.CJ000,-9999.0
czce.CF000,dce.fb0000,-9999.0
czce.CF000,czce.RS000,-9999.0
czce.CF000,dce.bb0000,-9999.0
czce.CF000,czce.CY000,-9999.0
