s1,s2,corr
czce.CJ000,shfe.ag0000,-9999.0
czce.CJ000,dce.v0000,-9999.0
czce.CJ000,czce.AP000,-9999.0
czce.CJ000,czce.CF000,-9999.0
czce.CJ000,czce.CY000,-9999.0
czce.CJ000,czce.FG000,-9999.0
czce.CJ000,czce.JR000,-9999.0
czce.CJ000,czce.LR000,-9999.0
czce.CJ000,czce.MA000,-9999.0
czce.CJ000,czce.OI000,-9999.0
czce.CJ000,czce.PM000,-9999.0
czce.CJ000,czce.RI000,-9999.0
czce.CJ000,czce.RM000,-9999.0
czce.CJ000,czce.RS000,-9999.0
czce.CJ000,czce.SF000,-9999.0
czce.CJ000,czce.SM000,-9999.0
czce.CJ000,czce.SR000,-9999.0
czce.CJ000,czce.TA000,-9999.0
czce.CJ000,czce.WH000,-9999.0
czce.CJ000,czce.ZC000,-9999.0
czce.CJ000,ine.sc0000,-9999.0
czce.CJ000,cffex.TF0000,-9999.0
czce.CJ000,cffex.T0000,-9999.0
czce.CJ000,cffex.IH0000,-9999.0
czce.CJ000,cffex.IF0000,-9999.0
czce.CJ000,dce.y0000,-9999.0
czce.CJ000,dce.pp0000,-9999.0
czce.CJ000,shfe.al0000,-9999.0
czce.CJ000,dce.p0000,-9999.0
czce.CJ000,shfe.au0000,-9999.0
czce.CJ000,shfe.bu0000,-9999.0
czce.CJ000,shfe.cu0000,-9999.0
czce.CJ000,shfe.hc0000,-9999.0
czce.CJ000,shfe.ni0000,-9999.0
czce.CJ000,shfe.pb0000,-9999.0
czce.CJ000,shfe.rb0000,-9999.0
czce.CJ000,shfe.ru0000,-9999.0
czce.CJ000,shfe.sn0000,-9999.0
czce.CJ000,shfe.wr0000,-9999.0
czce.CJ000,dce.fb0000,-9999.0
czce.CJ000,shfe.zn0000,-9999.0
czce.CJ000,dce.a0000,-9999.0
czce.CJ000,dce.b0000,-9999.0
czce.CJ000,dce.bb0000,-9999.0
czce.CJ000,dce.c0000,-9999.0
czce.CJ000,dce.cs0000,-9999.0
czce.CJ000,dce.i0000,-9999.0
czce.CJ000,dce.j0000,-9999.0
czce.CJ000,dce.jd0000,-9999.0
czce.CJ000,dce.jm0000,-9999.0
czce.CJ000,dce.l0000,-9999.0
czce.CJ000,dce.m0000,-9999.0
czce.CJ000,cffex.IC0000,-9999.0
czce.CJ000,shfe.fu0000,
czce.CJ000,shfe.sp0000,
czce.CJ000,dce.eg0000,
czce.CJ000,cffex.TS0000,
