s1,s2,corr
czce.CY000,shfe.ag0000,-9999.0
czce.CY000,dce.pp0000,-9999.0
czce.CY000,dce.y0000,-9999.0
czce.CY000,czce.AP000,-9999.0
czce.CY000,czce.CF000,-9999.0
czce.CY000,czce.CJ000,-9999.0
czce.CY000,czce.FG000,-9999.0
czce.CY000,czce.JR000,-9999.0
czce.CY000,czce.LR000,-9999.0
czce.CY000,czce.MA000,-9999.0
czce.CY000,czce.OI000,-9999.0
czce.CY000,czce.PM000,-9999.0
czce.CY000,czce.RI000,-9999.0
czce.CY000,czce.RM000,-9999.0
czce.CY000,czce.RS000,-9999.0
czce.CY000,czce.SF000,-9999.0
czce.CY000,czce.SM000,-9999.0
czce.CY000,czce.SR000,-9999.0
czce.CY000,czce.TA000,-9999.0
czce.CY000,czce.WH000,-9999.0
czce.CY000,czce.ZC000,-9999.0
czce.CY000,ine.sc0000,-9999.0
czce.CY000,cffex.TS0000,-9999.0
czce.CY000,cffex.TF0000,-9999.0
czce.CY000,cffex.T0000,-9999.0
czce.CY000,cffex.IH0000,-9999.0
czce.CY000,cffex.IF0000,-9999.0
czce.CY000,dce.v0000,-9999.0
czce.CY000,dce.p0000,-9999.0
czce.CY000,shfe.al0000,-9999.0
czce.CY000,dce.m0000,-9999.0
czce.CY000,shfe.au0000,-9999.0
czce.CY000,shfe.bu0000,-9999.0
czce.CY000,shfe.cu0000,-9999.0
czce.CY000,shfe.fu0000,-9999.0
czce.CY000,shfe.hc0000,-9999.0
czce.CY000,shfe.ni0000,-9999.0
czce.CY000,shfe.pb0000,-9999.0
czce.CY000,shfe.rb0000,-9999.0
czce.CY000,shfe.ru0000,-9999.0
czce.CY000,shfe.sn0000,-9999.0
czce.CY000,shfe.sp0000,-9999.0
czce.CY000,shfe.wr0000,-9999.0
czce.CY000,dce.eg0000,-9999.0
czce.CY000,dce.fb0000,-9999.0
czce.CY000,shfe.zn0000,-9999.0
czce.CY000,dce.a0000,-9999.0
czce.CY000,dce.b0000,-9999.0
czce.CY000,dce.bb0000,-9999.0
czce.CY000,dce.c0000,-9999.0
czce.CY000,dce.cs0000,-9999.0
czce.CY000,dce.i0000,-9999.0
czce.CY000,dce.j0000,-9999.0
czce.CY000,dce.jd0000,-9999.0
czce.CY000,dce.jm0000,-9999.0
czce.CY000,dce.l0000,-9999.0
czce.CY000,cffex.IC0000,-9999.0
