s1,s2,corr
czce.FG000,dce.y0000,0.17619047619047618
czce.FG000,shfe.cu0000,0.17447124304267161
czce.FG000,dce.i0000,0.1716635745207174
czce.FG000,shfe.ag0000,0.15309833024118738
czce.FG000,shfe.al0000,0.1441187384044527
czce.FG000,czce.TA000,0.1360791589363018
czce.FG000,shfe.ni0000,0.13413729128014842
czce.FG000,shfe.zn0000,0.08602350030921459
czce.FG000,dce.c0000,0.07803339517625232
czce.FG000,czce.SR000,0.07470624613481756
czce.FG000,czce.SF000,0.07302411873840445
czce.FG000,czce.CF000,0.06493506493506493
czce.FG000,czce.WH000,0.057922077922077916
czce.FG000,shfe.rb0000,0.03396413110698825
czce.FG000,czce.MA000,0.032467532467532464
czce.FG000,cffex.T0000,0.016982065553494127
czce.FG000,dce.a0000,0.008843537414965987
czce.FG000,dce.p0000,0.008361162646876932
czce.FG000,czce.ZC000,0.008051948051948052
czce.FG000,dce.v0000,0.007470624613481756
czce.FG000,shfe.sn0000,-0.018070500927643784
czce.FG000,shfe.au0000,-0.034582560296846004
czce.FG000,czce.RM000,-0.04091527520098948
czce.FG000,dce.l0000,-0.042077922077922075
czce.FG000,shfe.pb0000,-0.04910327767470624
czce.FG000,dce.pp0000,-0.04923933209647494
czce.FG000,shfe.ru0000,-0.05737786023500308
czce.FG000,shfe.bu0000,-0.06106369820655535
czce.FG000,dce.cs0000,-0.06551638837353123
czce.FG000,cffex.IH0000,-0.06822510822510823
czce.FG000,dce.jm0000,-0.06886827458256028
czce.FG000,czce.SM000,-0.0693382807668522
czce.FG000,cffex.IF0000,-0.07334570191713048
czce.FG000,dce.j0000,-0.07385281385281385
czce.FG000,cffex.TF0000,-0.08405689548546691
czce.FG000,shfe.hc0000,-0.08667903525046382
czce.FG000,dce.m0000,-0.10011131725417438
czce.FG000,dce.b0000,-0.10311688311688312
czce.FG000,czce.OI000,-0.11828076685219542
czce.FG000,czce.AP000,-0.13511440940012368
czce.FG000,dce.jd0000,-0.1482003710575139
czce.FG000,cffex.IC0000,-0.1705751391465677
czce.FG000,czce.RI000,-9999.0
czce.FG000,czce.RS000,-9999.0
czce.FG000,czce.PM000,-9999.0
czce.FG000,dce.bb0000,-9999.0
czce.FG000,czce.JR000,-9999.0
czce.FG000,shfe.fu0000,-9999.0
czce.FG000,czce.CY000,-9999.0
czce.FG000,czce.CJ000,-9999.0
czce.FG000,ine.sc0000,-9999.0
czce.FG000,cffex.TS0000,-9999.0
czce.FG000,shfe.sp0000,-9999.0
czce.FG000,shfe.wr0000,-9999.0
czce.FG000,dce.eg0000,-9999.0
czce.FG000,dce.fb0000,-9999.0
czce.FG000,czce.LR000,-9999.0
