s1,s2,corr
czce.MA000,dce.l0000,0.24826221397649967
czce.MA000,dce.v0000,0.18488559059987633
czce.MA000,czce.WH000,0.14888064316635743
czce.MA000,czce.AP000,0.13319727891156463
czce.MA000,dce.jm0000,0.12998144712430426
czce.MA000,czce.OI000,0.12732220160791588
czce.MA000,dce.pp0000,0.12068027210884352
czce.MA000,cffex.T0000,0.11576994434137292
czce.MA000,czce.SM000,0.10564007421150277
czce.MA000,czce.TA000,0.0995547309833024
czce.MA000,czce.ZC000,0.03354359925788497
czce.MA000,czce.FG000,0.032467532467532464
czce.MA000,cffex.TF0000,0.024922696351267773
czce.MA000,dce.c0000,0.015324675324675324
czce.MA000,dce.j0000,0.0072603586889301176
czce.MA000,czce.SR000,0.006876932591218305
czce.MA000,shfe.pb0000,0.006233766233766234
czce.MA000,shfe.sn0000,0.001100803957946815
czce.MA000,shfe.cu0000,-0.0050834879406307975
czce.MA000,shfe.rb0000,-0.005974025974025973
czce.MA000,dce.jd0000,-0.007000618429189857
czce.MA000,dce.y0000,-0.011329622758194187
czce.MA000,dce.a0000,-0.013716759431045144
czce.MA000,shfe.ni0000,-0.01789734075448361
czce.MA000,shfe.zn0000,-0.019282622139764994
czce.MA000,cffex.IF0000,-0.019480519480519477
czce.MA000,shfe.ag0000,-0.027606679035250464
czce.MA000,shfe.bu0000,-0.028633271490414346
czce.MA000,shfe.ru0000,-0.029882498453927025
czce.MA000,czce.SF000,-0.031552257266542975
czce.MA000,shfe.au0000,-0.03240568954854669
czce.MA000,dce.m0000,-0.033865182436611005
czce.MA000,czce.RM000,-0.03732838589981447
czce.MA000,shfe.al0000,-0.04808905380333951
czce.MA000,dce.cs0000,-0.05219542362399505
czce.MA000,dce.b0000,-0.0651082251082251
czce.MA000,cffex.IC0000,-0.06675324675324674
czce.MA000,dce.p0000,-0.06718614718614718
czce.MA000,dce.i0000,-0.06885590599876314
czce.MA000,cffex.IH0000,-0.08959802102659245
czce.MA000,shfe.hc0000,-0.11575757575757574
czce.MA000,czce.CF000,-0.1272603586889301
czce.MA000,dce.eg0000,-9999.0
czce.MA000,shfe.fu0000,-9999.0
czce.MA000,shfe.sp0000,-9999.0
czce.MA000,cffex.TS0000,-9999.0
czce.MA000,ine.sc0000,-9999.0
czce.MA000,shfe.wr0000,-9999.0
czce.MA000,czce.JR000,-9999.0
czce.MA000,czce.LR000,-9999.0
czce.MA000,dce.bb0000,-9999.0
czce.MA000,czce.RS000,-9999.0
czce.MA000,czce.CJ000,-9999.0
czce.MA000,czce.RI000,-9999.0
czce.MA000,czce.PM000,-9999.0
czce.MA000,czce.CY000,-9999.0
czce.MA000,dce.fb0000,-9999.0
