s1,s2,corr
czce.OI000,czce.TA000,0.1642795299938157
czce.OI000,dce.cs0000,0.1497464440321583
czce.OI000,cffex.IF0000,0.1485961657390229
czce.OI000,shfe.al0000,0.1325417439703154
czce.OI000,shfe.sn0000,0.12890538033395177
czce.OI000,czce.MA000,0.12732220160791588
czce.OI000,shfe.ru0000,0.1261595547309833
czce.OI000,shfe.ag0000,0.12351267779839208
czce.OI000,cffex.IC0000,0.11732838589981445
czce.OI000,czce.SF000,0.10854669140383424
czce.OI000,shfe.au0000,0.09840445269016697
czce.OI000,dce.b0000,0.09764996907854051
czce.OI000,czce.ZC000,0.08429189857761285
czce.OI000,shfe.ni0000,0.06787878787878787
czce.OI000,cffex.IH0000,0.06719851576994433
czce.OI000,shfe.cu0000,0.057711811997526286
czce.OI000,dce.pp0000,0.04917748917748918
czce.OI000,cffex.T0000,0.03884972170686456
czce.OI000,shfe.hc0000,0.03506493506493506
czce.OI000,czce.CF000,0.02989486703772418
czce.OI000,dce.j0000,0.024675324675324673
czce.OI000,czce.SM000,0.02039579468150897
czce.OI000,dce.a0000,0.01197278911564626
czce.OI000,cffex.TF0000,0.005207173778602349
czce.OI000,dce.v0000,-0.0014842300556586268
czce.OI000,shfe.bu0000,-0.007445887445887445
czce.OI000,dce.y0000,-0.01110698824984539
czce.OI000,dce.m0000,-0.02820037105751391
czce.OI000,dce.l0000,-0.03267779839208411
czce.OI000,czce.RM000,-0.03327149041434755
czce.OI000,dce.p0000,-0.03783549783549783
czce.OI000,czce.AP000,-0.04262213976499691
czce.OI000,dce.jd0000,-0.06542980828695115
czce.OI000,shfe.pb0000,-0.06860853432282003
czce.OI000,dce.i0000,-0.07037724180581323
czce.OI000,czce.WH000,-0.0789239332096475
czce.OI000,shfe.rb0000,-0.09266542980828694
czce.OI000,dce.c0000,-0.10800247371675942
czce.OI000,czce.FG000,-0.11828076685219542
czce.OI000,dce.jm0000,-0.13224489795918368
czce.OI000,czce.SR000,-0.14880643166357452
czce.OI000,shfe.zn0000,-0.2567717996289425
czce.OI000,czce.JR000,-9999.0
czce.OI000,shfe.sp0000,-9999.0
czce.OI000,shfe.wr0000,-9999.0
czce.OI000,dce.eg0000,-9999.0
czce.OI000,dce.fb0000,-9999.0
czce.OI000,cffex.TS0000,-9999.0
czce.OI000,ine.sc0000,-9999.0
czce.OI000,dce.bb0000,-9999.0
czce.OI000,czce.CJ000,-9999.0
czce.OI000,czce.LR000,-9999.0
czce.OI000,czce.CY000,-9999.0
czce.OI000,czce.RS000,-9999.0
czce.OI000,czce.RI000,-9999.0
czce.OI000,czce.PM000,-9999.0
czce.OI000,shfe.fu0000,-9999.0
