s1,s2,corr
czce.RM000,czce.WH000,0.2315769944341373
czce.RM000,dce.a0000,0.2025726654298083
czce.RM000,shfe.sn0000,0.17335807050092764
czce.RM000,shfe.bu0000,0.1524551638837353
czce.RM000,dce.m0000,0.12029684601113172
czce.RM000,shfe.au0000,0.11741496598639455
czce.RM000,shfe.rb0000,0.11090909090909089
czce.RM000,shfe.hc0000,0.10696351267779838
czce.RM000,dce.y0000,0.1040321583178726
czce.RM000,dce.cs0000,0.09114409400123685
czce.RM000,dce.v0000,0.09061224489795917
czce.RM000,czce.AP000,0.08282003710575139
czce.RM000,czce.TA000,0.07199752628324056
czce.RM000,shfe.ag0000,0.06926406926406925
czce.RM000,cffex.TF0000,0.06451453308596165
czce.RM000,dce.i0000,0.05128014842300556
czce.RM000,shfe.pb0000,0.05098330241187383
czce.RM000,czce.SM000,0.006963512677798391
czce.RM000,cffex.T0000,-0.0003834260977118119
czce.RM000,shfe.al0000,-0.006456400742115027
czce.RM000,czce.CF000,-0.017316017316017313
czce.RM000,dce.j0000,-0.019851576994434135
czce.RM000,shfe.cu0000,-0.02173160173160173
czce.RM000,czce.SR000,-0.02466295609152752
czce.RM000,czce.OI000,-0.03327149041434755
czce.RM000,dce.p0000,-0.03560915275200989
czce.RM000,czce.MA000,-0.03732838589981447
czce.RM000,cffex.IF0000,-0.04090290661719232
czce.RM000,czce.FG000,-0.04091527520098948
czce.RM000,dce.l0000,-0.04608534322820037
czce.RM000,dce.jm0000,-0.04745825602968459
czce.RM000,cffex.IH0000,-0.04755720470006184
czce.RM000,dce.c0000,-0.11021645021645021
czce.RM000,shfe.ni0000,-0.11797155225726653
czce.RM000,dce.jd0000,-0.12901669758812614
czce.RM000,czce.SF000,-0.13115646258503402
czce.RM000,shfe.ru0000,-0.15249226963512677
czce.RM000,dce.b0000,-0.17777365491651204
czce.RM000,czce.ZC000,-0.1878664192949907
czce.RM000,dce.pp0000,-0.1981199752628324
czce.RM000,shfe.zn0000,-0.20801484230055658
czce.RM000,cffex.IC0000,-0.23173778602350031
czce.RM000,czce.RI000,-9999.0
czce.RM000,czce.RS000,-9999.0
czce.RM000,dce.fb0000,-9999.0
czce.RM000,dce.eg0000,-9999.0
czce.RM000,shfe.wr0000,-9999.0
czce.RM000,shfe.sp0000,-9999.0
czce.RM000,czce.LR000,-9999.0
czce.RM000,czce.JR000,-9999.0
czce.RM000,ine.sc0000,-9999.0
czce.RM000,cffex.TS0000,-9999.0
czce.RM000,czce.CY000,-9999.0
czce.RM000,shfe.fu0000,-9999.0
czce.RM000,czce.CJ000,-9999.0
czce.RM000,dce.bb0000,-9999.0
czce.RM000,czce.PM000,-9999.0
