s1,s2,corr
czce.SF000,shfe.cu0000,0.15907235621521335
czce.SF000,dce.jd0000,0.14827458256029685
czce.SF000,czce.CF000,0.14216450216450216
czce.SF000,cffex.IC0000,0.13857761286332715
czce.SF000,czce.TA000,0.13448361162646877
czce.SF000,shfe.ru0000,0.1309585652442795
czce.SF000,czce.OI000,0.10854669140383424
czce.SF000,czce.SR000,0.10158317872603585
czce.SF000,shfe.al0000,0.10068027210884353
czce.SF000,czce.AP000,0.09470624613481757
czce.SF000,shfe.sn0000,0.08792826221397648
czce.SF000,shfe.ag0000,0.07481756338899194
czce.SF000,czce.FG000,0.07302411873840445
czce.SF000,cffex.TF0000,0.06988249845392701
czce.SF000,dce.i0000,0.057823129251700675
czce.SF000,dce.pp0000,0.052838589981447116
czce.SF000,czce.WH000,0.04437847866419294
czce.SF000,shfe.rb0000,0.03464440321583179
czce.SF000,czce.SM000,0.025887445887445883
czce.SF000,dce.a0000,0.01899814471243043
czce.SF000,cffex.IF0000,0.008534322820037105
czce.SF000,dce.jm0000,0.007915893630179343
czce.SF000,shfe.ni0000,0.005231910946196661
czce.SF000,dce.j0000,0.0024242424242424242
czce.SF000,shfe.bu0000,-0.0005318491032776748
czce.SF000,dce.m0000,-0.004774273345701917
czce.SF000,dce.b0000,-0.023116883116883116
czce.SF000,dce.v0000,-0.02713667285095856
czce.SF000,czce.MA000,-0.031552257266542975
czce.SF000,dce.p0000,-0.03576994434137291
czce.SF000,shfe.hc0000,-0.05298701298701298
czce.SF000,dce.y0000,-0.061917130488559055
czce.SF000,dce.cs0000,-0.07606679035250463
czce.SF000,czce.ZC000,-0.10124922696351267
czce.SF000,cffex.T0000,-0.10853432282003708
czce.SF000,shfe.pb0000,-0.117291280148423
czce.SF000,cffex.IH0000,-0.11830550401978972
czce.SF000,czce.RM000,-0.13115646258503402
czce.SF000,shfe.zn0000,-0.1460729746444032
czce.SF000,dce.c0000,-0.147730364873222
czce.SF000,dce.l0000,-0.17866419294990724
czce.SF000,shfe.au0000,-0.24854669140383426
czce.SF000,cffex.TS0000,-9999.0
czce.SF000,ine.sc0000,-9999.0
czce.SF000,shfe.sp0000,-9999.0
czce.SF000,czce.RS000,-9999.0
czce.SF000,czce.RI000,-9999.0
czce.SF000,czce.PM000,-9999.0
czce.SF000,shfe.fu0000,-9999.0
czce.SF000,czce.LR000,-9999.0
czce.SF000,czce.JR000,-9999.0
czce.SF000,czce.CY000,-9999.0
czce.SF000,shfe.wr0000,-9999.0
czce.SF000,dce.bb0000,-9999.0
czce.SF000,dce.fb0000,-9999.0
czce.SF000,dce.eg0000,-9999.0
czce.SF000,czce.CJ000,-9999.0
