s1,s2,corr
czce.SM000,dce.l0000,0.20675324675324674
czce.SM000,shfe.sn0000,0.13141620284477426
czce.SM000,dce.cs0000,0.13114409400123683
czce.SM000,shfe.rb0000,0.12661719233147803
czce.SM000,czce.MA000,0.10564007421150277
czce.SM000,czce.TA000,0.10398268398268397
czce.SM000,dce.j0000,0.09762523191094619
czce.SM000,shfe.bu0000,0.08964749536178107
czce.SM000,shfe.ag0000,0.08667903525046382
czce.SM000,czce.WH000,0.08210265924551638
czce.SM000,shfe.hc0000,0.08044526901669759
czce.SM000,dce.b0000,0.07706864564007421
czce.SM000,shfe.pb0000,0.0749412492269635
czce.SM000,cffex.IC0000,0.07153988868274581
czce.SM000,dce.y0000,0.06065553494124923
czce.SM000,shfe.ni0000,0.044032158317872605
czce.SM000,dce.jd0000,0.029771181199752625
czce.SM000,dce.jm0000,0.027074829931972785
czce.SM000,czce.SF000,0.025887445887445883
czce.SM000,czce.OI000,0.02039579468150897
czce.SM000,dce.pp0000,0.018045763760049474
czce.SM000,dce.m0000,0.00901669758812616
czce.SM000,shfe.zn0000,0.008893011750154608
czce.SM000,czce.RM000,0.006963512677798391
czce.SM000,cffex.IF0000,0.004502164502164502
czce.SM000,cffex.T0000,-0.009981447124304267
czce.SM000,cffex.TF0000,-0.010092764378478662
czce.SM000,shfe.al0000,-0.01938157081014224
czce.SM000,dce.v0000,-0.021038961038961038
czce.SM000,czce.CF000,-0.02352504638218924
czce.SM000,dce.p0000,-0.04049474335188621
czce.SM000,cffex.IH0000,-0.05022881880024738
czce.SM000,czce.ZC000,-0.051304885590599876
czce.SM000,czce.AP000,-0.06293135435992579
czce.SM000,czce.FG000,-0.0693382807668522
czce.SM000,dce.a0000,-0.0879529993815708
czce.SM000,shfe.cu0000,-0.09434755720470006
czce.SM000,shfe.au0000,-0.10611008039579467
czce.SM000,dce.i0000,-0.11938157081014222
czce.SM000,dce.c0000,-0.1657513914656772
czce.SM000,shfe.ru0000,-0.16876932591218302
czce.SM000,czce.SR000,-0.35320964749536177
czce.SM000,cffex.TS0000,-9999.0
czce.SM000,ine.sc0000,-9999.0
czce.SM000,dce.eg0000,-9999.0
czce.SM000,czce.RS000,-9999.0
czce.SM000,czce.RI000,-9999.0
czce.SM000,czce.PM000,-9999.0
czce.SM000,shfe.fu0000,-9999.0
czce.SM000,czce.LR000,-9999.0
czce.SM000,czce.JR000,-9999.0
czce.SM000,dce.fb0000,-9999.0
czce.SM000,czce.CJ000,-9999.0
czce.SM000,shfe.sp0000,-9999.0
czce.SM000,dce.bb0000,-9999.0
czce.SM000,shfe.wr0000,-9999.0
czce.SM000,czce.CY000,-9999.0
