s1,s2,corr
czce.SR000,shfe.hc0000,0.25224489795918364
czce.SR000,shfe.cu0000,0.1673716759431045
czce.SR000,dce.p0000,0.16269635126777982
czce.SR000,dce.jm0000,0.11941867656153371
czce.SR000,czce.CF000,0.11915893630179343
czce.SR000,czce.ZC000,0.11851576994434136
czce.SR000,shfe.ni0000,0.10660482374768089
czce.SR000,cffex.IH0000,0.10441558441558442
czce.SR000,czce.SF000,0.10158317872603585
czce.SR000,shfe.zn0000,0.0937786023500309
czce.SR000,czce.AP000,0.09212121212121212
czce.SR000,cffex.T0000,0.07823129251700679
czce.SR000,czce.FG000,0.07470624613481756
czce.SR000,dce.c0000,0.06893011750154607
czce.SR000,shfe.rb0000,0.05340754483611626
czce.SR000,dce.a0000,0.04545454545454545
czce.SR000,cffex.IC0000,0.025132962275819418
czce.SR000,shfe.bu0000,0.018194186765615336
czce.SR000,shfe.pb0000,0.015027829313543597
czce.SR000,shfe.ag0000,0.01344465058750773
czce.SR000,czce.WH000,0.008954854669140382
czce.SR000,czce.MA000,0.006876932591218305
czce.SR000,cffex.TF0000,0.0014471243042671613
czce.SR000,shfe.au0000,-0.012875695732838588
czce.SR000,dce.v0000,-0.014545454545454544
czce.SR000,shfe.al0000,-0.01593073593073593
czce.SR000,dce.pp0000,-0.02134817563388992
czce.SR000,czce.RM000,-0.02466295609152752
czce.SR000,dce.jd0000,-0.03286332714904144
czce.SR000,shfe.ru0000,-0.038367346938775505
czce.SR000,dce.cs0000,-0.0498330241187384
czce.SR000,shfe.sn0000,-0.053642547928262216
czce.SR000,dce.i0000,-0.05557204700061843
czce.SR000,czce.TA000,-0.055943104514533076
czce.SR000,dce.m0000,-0.0626221397649969
czce.SR000,dce.j0000,-0.06482374768089054
czce.SR000,dce.b0000,-0.07610389610389609
czce.SR000,czce.OI000,-0.14880643166357452
czce.SR000,cffex.IF0000,-0.15340754483611624
czce.SR000,dce.y0000,-0.18547928262213978
czce.SR000,dce.l0000,-0.1933457019171305
czce.SR000,czce.SM000,-0.35320964749536177
czce.SR000,shfe.fu0000,-9999.0
czce.SR000,ine.sc0000,-9999.0
czce.SR000,cffex.TS0000,-9999.0
czce.SR000,dce.fb0000,-9999.0
czce.SR000,czce.RS000,-9999.0
czce.SR000,czce.RI000,-9999.0
czce.SR000,czce.PM000,-9999.0
czce.SR000,czce.LR000,-9999.0
czce.SR000,czce.CY000,-9999.0
czce.SR000,czce.CJ000,-9999.0
czce.SR000,shfe.sp0000,-9999.0
czce.SR000,shfe.wr0000,-9999.0
czce.SR000,dce.eg0000,-9999.0
czce.SR000,dce.bb0000,-9999.0
czce.SR000,czce.JR000,-9999.0
