s1,s2,corr
czce.TA000,shfe.bu0000,0.20491032776747062
czce.TA000,dce.p0000,0.1719480519480519
czce.TA000,czce.OI000,0.1642795299938157
czce.TA000,czce.FG000,0.1360791589363018
czce.TA000,czce.SF000,0.13448361162646877
czce.TA000,shfe.ni0000,0.13178726035868893
czce.TA000,shfe.cu0000,0.11918367346938774
czce.TA000,dce.j0000,0.10436611008039579
czce.TA000,czce.CF000,0.10409400123685839
czce.TA000,czce.SM000,0.10398268398268397
czce.TA000,shfe.sn0000,0.1038095238095238
czce.TA000,czce.MA000,0.0995547309833024
czce.TA000,shfe.al0000,0.09246753246753246
czce.TA000,cffex.IF0000,0.08270871985157699
czce.TA000,shfe.rb0000,0.07615337043908471
czce.TA000,czce.RM000,0.07199752628324056
czce.TA000,dce.m0000,0.06826221397649967
czce.TA000,cffex.T0000,0.057773654916512054
czce.TA000,shfe.ag0000,0.04758194186765616
czce.TA000,shfe.pb0000,0.02846011131725417
czce.TA000,shfe.zn0000,0.027099567099567096
czce.TA000,dce.jd0000,0.026406926406926406
czce.TA000,shfe.ru0000,0.020717377860235
czce.TA000,dce.v0000,0.017427334570191712
czce.TA000,dce.i0000,0.010414347557204698
czce.TA000,dce.b0000,0.0032158317872603586
czce.TA000,shfe.hc0000,0.0030674087816944954
czce.TA000,dce.cs0000,-0.011824366110080396
czce.TA000,czce.ZC000,-0.01960420531849103
czce.TA000,shfe.au0000,-0.02432900432900433
czce.TA000,dce.y0000,-0.025961657390228817
czce.TA000,dce.a0000,-0.030525664811379097
czce.TA000,dce.c0000,-0.03623995052566481
czce.TA000,czce.WH000,-0.05082251082251081
czce.TA000,czce.AP000,-0.05473098330241186
czce.TA000,czce.SR000,-0.055943104514533076
czce.TA000,dce.pp0000,-0.06194186765615337
czce.TA000,cffex.IH0000,-0.07481756338899194
czce.TA000,cffex.TF0000,-0.09153988868274582
czce.TA000,dce.jm0000,-0.10112554112554112
czce.TA000,cffex.IC0000,-0.10376004947433518
czce.TA000,dce.l0000,-0.20117501546072974
czce.TA000,shfe.fu0000,-9999.0
czce.TA000,cffex.TS0000,-9999.0
czce.TA000,ine.sc0000,-9999.0
czce.TA000,dce.bb0000,-9999.0
czce.TA000,czce.RS000,-9999.0
czce.TA000,czce.RI000,-9999.0
czce.TA000,czce.PM000,-9999.0
czce.TA000,shfe.sp0000,-9999.0
czce.TA000,shfe.wr0000,-9999.0
czce.TA000,czce.JR000,-9999.0
czce.TA000,dce.eg0000,-9999.0
czce.TA000,czce.CY000,-9999.0
czce.TA000,czce.CJ000,-9999.0
czce.TA000,dce.fb0000,-9999.0
czce.TA000,czce.LR000,-9999.0
