s1,s2,corr
czce.WH000,czce.RM000,0.2315769944341373
czce.WH000,dce.pp0000,0.17469387755102042
czce.WH000,czce.MA000,0.14888064316635743
czce.WH000,dce.j0000,0.14672850958565242
czce.WH000,dce.jm0000,0.13978973407544834
czce.WH000,shfe.cu0000,0.13332096474953617
czce.WH000,shfe.rb0000,0.1032529375386518
czce.WH000,dce.v0000,0.10288188002473718
czce.WH000,dce.y0000,0.09034013605442177
czce.WH000,czce.SM000,0.08210265924551638
czce.WH000,dce.a0000,0.07865182436611008
czce.WH000,cffex.TF0000,0.07393939393939394
czce.WH000,czce.FG000,0.057922077922077916
czce.WH000,shfe.hc0000,0.051651205936920214
czce.WH000,cffex.IC0000,0.051304885590599876
czce.WH000,czce.SF000,0.04437847866419294
czce.WH000,shfe.ni0000,0.03960420531849103
czce.WH000,shfe.au0000,0.03909709338280767
czce.WH000,dce.l0000,0.031651205936920224
czce.WH000,shfe.bu0000,0.019690785405071118
czce.WH000,czce.CF000,0.018243661100803957
czce.WH000,shfe.zn0000,0.015695732838589983
czce.WH000,czce.SR000,0.008954854669140382
czce.WH000,cffex.IF0000,0.003512677798392084
czce.WH000,dce.c0000,-0.003673469387755102
czce.WH000,cffex.T0000,-0.00714904143475572
czce.WH000,dce.m0000,-0.009276437847866418
czce.WH000,czce.AP000,-0.01323438466295609
czce.WH000,shfe.ag0000,-0.021410018552875696
czce.WH000,dce.jd0000,-0.022411873840445268
czce.WH000,shfe.al0000,-0.02346320346320346
czce.WH000,dce.cs0000,-0.03194805194805194
czce.WH000,dce.p0000,-0.03448361162646876
czce.WH000,cffex.IH0000,-0.050624613481756335
czce.WH000,czce.TA000,-0.05082251082251081
czce.WH000,czce.OI000,-0.0789239332096475
czce.WH000,czce.ZC000,-0.08481137909709338
czce.WH000,shfe.pb0000,-0.10143475572046999
czce.WH000,shfe.sn0000,-0.1020408163265306
czce.WH000,shfe.ru0000,-0.12791589363017933
czce.WH000,dce.i0000,-0.1529004329004329
czce.WH000,dce.b0000,-0.22124922696351268
czce.WH000,dce.bb0000,-9999.0
czce.WH000,shfe.fu0000,-9999.0
czce.WH000,cffex.TS0000,-9999.0
czce.WH000,ine.sc0000,-9999.0
czce.WH000,shfe.wr0000,-9999.0
czce.WH000,shfe.sp0000,-9999.0
czce.WH000,czce.CJ000,-9999.0
czce.WH000,czce.RS000,-9999.0
czce.WH000,czce.RI000,-9999.0
czce.WH000,czce.PM000,-9999.0
czce.WH000,dce.fb0000,-9999.0
czce.WH000,czce.LR000,-9999.0
czce.WH000,czce.JR000,-9999.0
czce.WH000,czce.CY000,-9999.0
czce.WH000,dce.eg0000,-9999.0
