s1,s2,corr
czce.ZC000,dce.m0000,0.21252937538651823
czce.ZC000,czce.CF000,0.19001855287569572
czce.ZC000,cffex.IF0000,0.16295609152752008
czce.ZC000,shfe.hc0000,0.16117501546072974
czce.ZC000,czce.AP000,0.13414965986394556
czce.ZC000,dce.j0000,0.13405071119356834
czce.ZC000,shfe.pb0000,0.12896722325293755
czce.ZC000,dce.jm0000,0.12683982683982684
czce.ZC000,dce.pp0000,0.12458874458874458
czce.ZC000,czce.SR000,0.11851576994434136
czce.ZC000,cffex.IC0000,0.11813234384662956
czce.ZC000,cffex.IH0000,0.1034755720470006
czce.ZC000,dce.b0000,0.09443413729128014
czce.ZC000,dce.jd0000,0.08886827458256029
czce.ZC000,czce.OI000,0.08429189857761285
czce.ZC000,dce.i0000,0.07103277674706246
czce.ZC000,cffex.T0000,0.06441558441558441
czce.ZC000,shfe.sn0000,0.05720470006184292
czce.ZC000,shfe.ru0000,0.04310451453308596
czce.ZC000,shfe.bu0000,0.03443413729128014
czce.ZC000,czce.MA000,0.03354359925788497
czce.ZC000,shfe.rb0000,0.021323438466295606
czce.ZC000,shfe.al0000,0.012863327149041434
czce.ZC000,cffex.TF0000,0.011663574520717377
czce.ZC000,czce.FG000,0.008051948051948052
czce.ZC000,dce.p0000,-0.0023871366728509583
czce.ZC000,shfe.au0000,-0.010265924551638836
czce.ZC000,shfe.zn0000,-0.016103896103896103
czce.ZC000,czce.TA000,-0.01960420531849103
czce.ZC000,shfe.ni0000,-0.02030921459492888
czce.ZC000,dce.cs0000,-0.034928880643166356
czce.ZC000,dce.v0000,-0.04121212121212121
czce.ZC000,czce.SM000,-0.051304885590599876
czce.ZC000,dce.c0000,-0.06285714285714286
czce.ZC000,dce.l0000,-0.07040197897340754
czce.ZC000,czce.WH000,-0.08481137909709338
czce.ZC000,dce.a0000,-0.09212121212121212
czce.ZC000,czce.SF000,-0.10124922696351267
czce.ZC000,dce.y0000,-0.12252319109461966
czce.ZC000,shfe.ag0000,-0.14384662956091526
czce.ZC000,shfe.cu0000,-0.15083487940630796
czce.ZC000,czce.RM000,-0.1878664192949907
czce.ZC000,shfe.wr0000,-9999.0
czce.ZC000,czce.CY000,-9999.0
czce.ZC000,dce.bb0000,-9999.0
czce.ZC000,shfe.fu0000,-9999.0
czce.ZC000,czce.CJ000,-9999.0
czce.ZC000,cffex.TS0000,-9999.0
czce.ZC000,ine.sc0000,-9999.0
czce.ZC000,dce.fb0000,-9999.0
czce.ZC000,dce.eg0000,-9999.0
czce.ZC000,shfe.sp0000,-9999.0
czce.ZC000,czce.JR000,-9999.0
czce.ZC000,czce.LR000,-9999.0
czce.ZC000,czce.RS000,-9999.0
czce.ZC000,czce.RI000,-9999.0
czce.ZC000,czce.PM000,-9999.0
