s1,s2,corr
dce.a0000,shfe.hc0000,0.234743351886209
dce.a0000,cffex.IH0000,0.2210142238713667
dce.a0000,czce.RM000,0.2025726654298083
dce.a0000,czce.AP000,0.12479901051329623
dce.a0000,dce.c0000,0.10823747680890537
dce.a0000,shfe.ru0000,0.09976499690785404
dce.a0000,shfe.au0000,0.09970315398886827
dce.a0000,dce.m0000,0.08858379715522573
dce.a0000,cffex.T0000,0.0840074211502783
dce.a0000,czce.WH000,0.07865182436611008
dce.a0000,cffex.IF0000,0.07654916512059369
dce.a0000,cffex.TF0000,0.07120593692022263
dce.a0000,czce.SR000,0.04545454545454545
dce.a0000,shfe.sn0000,0.03995052566481138
dce.a0000,shfe.ag0000,0.031601731601731596
dce.a0000,czce.SF000,0.01899814471243043
dce.a0000,czce.OI000,0.01197278911564626
dce.a0000,czce.FG000,0.008843537414965987
dce.a0000,dce.j0000,0.007025355596784168
dce.a0000,dce.jm0000,0.005578231292517007
dce.a0000,shfe.rb0000,0.0016326530612244896
dce.a0000,dce.p0000,-0.0006431663574520717
dce.a0000,czce.MA000,-0.013716759431045144
dce.a0000,dce.cs0000,-0.019084724799010515
dce.a0000,dce.v0000,-0.022028447742733458
dce.a0000,dce.l0000,-0.028695114409400122
dce.a0000,czce.CF000,-0.029981447124304263
dce.a0000,czce.TA000,-0.030525664811379097
dce.a0000,dce.y0000,-0.05332096474953617
dce.a0000,shfe.ni0000,-0.08142238713667284
dce.a0000,dce.b0000,-0.08754483611626468
dce.a0000,czce.SM000,-0.0879529993815708
dce.a0000,czce.ZC000,-0.09212121212121212
dce.a0000,shfe.zn0000,-0.0986147186147186
dce.a0000,dce.i0000,-0.11052566481137908
dce.a0000,dce.jd0000,-0.11506493506493505
dce.a0000,cffex.IC0000,-0.12489795918367345
dce.a0000,shfe.pb0000,-0.14653061224489794
dce.a0000,shfe.al0000,-0.16518243661100804
dce.a0000,shfe.cu0000,-0.1699938157081014
dce.a0000,shfe.bu0000,-0.2135064935064935
dce.a0000,dce.pp0000,-0.22901669758812615
dce.a0000,shfe.wr0000,-9999.0
dce.a0000,shfe.fu0000,-9999.0
dce.a0000,cffex.TS0000,-9999.0
dce.a0000,ine.sc0000,-9999.0
dce.a0000,shfe.sp0000,-9999.0
dce.a0000,czce.LR000,-9999.0
dce.a0000,czce.JR000,-9999.0
dce.a0000,dce.fb0000,-9999.0
dce.a0000,dce.bb0000,-9999.0
dce.a0000,czce.RS000,-9999.0
dce.a0000,czce.CJ000,-9999.0
dce.a0000,czce.RI000,-9999.0
dce.a0000,czce.PM000,-9999.0
dce.a0000,czce.CY000,-9999.0
dce.a0000,dce.eg0000,-9999.0
