s1,s2,corr
dce.b0000,shfe.sn0000,0.2599257884972171
dce.b0000,shfe.ru0000,0.17265306122448978
dce.b0000,dce.l0000,0.15756338899196043
dce.b0000,dce.jm0000,0.13121830550401978
dce.b0000,dce.c0000,0.11598021026592455
dce.b0000,czce.OI000,0.09764996907854051
dce.b0000,czce.ZC000,0.09443413729128014
dce.b0000,cffex.IF0000,0.09139146567717996
dce.b0000,cffex.IC0000,0.08801484230055658
dce.b0000,dce.pp0000,0.0800247371675943
dce.b0000,shfe.zn0000,0.07810760667903524
dce.b0000,czce.SM000,0.07706864564007421
dce.b0000,shfe.al0000,0.07662337662337661
dce.b0000,cffex.IH0000,0.07485466914038343
dce.b0000,shfe.hc0000,0.03647495361781076
dce.b0000,dce.j0000,0.030983302411873838
dce.b0000,czce.CF000,0.029672232529375384
dce.b0000,dce.v0000,0.016623376623376623
dce.b0000,dce.y0000,0.012615955473098331
dce.b0000,shfe.pb0000,0.0050092764378478665
dce.b0000,czce.TA000,0.0032158317872603586
dce.b0000,shfe.ag0000,-0.010055658627087198
dce.b0000,shfe.ni0000,-0.01761286332714904
dce.b0000,czce.SF000,-0.023116883116883116
dce.b0000,cffex.TF0000,-0.02502164502164502
dce.b0000,shfe.bu0000,-0.0319604205318491
dce.b0000,dce.cs0000,-0.03606679035250464
dce.b0000,czce.AP000,-0.054421768707482984
dce.b0000,dce.jd0000,-0.06336425479282622
dce.b0000,czce.MA000,-0.0651082251082251
dce.b0000,shfe.rb0000,-0.06592455163883734
dce.b0000,czce.SR000,-0.07610389610389609
dce.b0000,dce.a0000,-0.08754483611626468
dce.b0000,dce.m0000,-0.1006926406926407
dce.b0000,czce.FG000,-0.10311688311688312
dce.b0000,dce.i0000,-0.11589363017934445
dce.b0000,shfe.cu0000,-0.12738404452690166
dce.b0000,dce.p0000,-0.1664069264069264
dce.b0000,cffex.T0000,-0.1686703772418058
dce.b0000,czce.RM000,-0.17777365491651204
dce.b0000,shfe.au0000,-0.20416821273964128
dce.b0000,czce.WH000,-0.22124922696351268
dce.b0000,shfe.sp0000,-9999.0
dce.b0000,shfe.wr0000,-9999.0
dce.b0000,cffex.TS0000,-9999.0
dce.b0000,ine.sc0000,-9999.0
dce.b0000,dce.eg0000,-9999.0
dce.b0000,dce.bb0000,-9999.0
dce.b0000,dce.fb0000,-9999.0
dce.b0000,czce.RS000,-9999.0
dce.b0000,czce.RI000,-9999.0
dce.b0000,czce.PM000,-9999.0
dce.b0000,czce.LR000,-9999.0
dce.b0000,czce.JR000,-9999.0
dce.b0000,czce.CY000,-9999.0
dce.b0000,shfe.fu0000,-9999.0
dce.b0000,czce.CJ000,-9999.0
