s1,s2,corr
dce.c0000,shfe.ni0000,0.1765986394557823
dce.c0000,dce.b0000,0.11598021026592455
dce.c0000,dce.a0000,0.10823747680890537
dce.c0000,dce.l0000,0.08619666048237476
dce.c0000,dce.y0000,0.08552875695732838
dce.c0000,czce.FG000,0.07803339517625232
dce.c0000,shfe.pb0000,0.07610389610389609
dce.c0000,czce.SR000,0.06893011750154607
dce.c0000,dce.j0000,0.06597402597402598
dce.c0000,shfe.cu0000,0.035856524427953
dce.c0000,shfe.al0000,0.03392702535559678
dce.c0000,dce.jm0000,0.024823747680890535
dce.c0000,dce.cs0000,0.023586889301175015
dce.c0000,shfe.rb0000,0.0162152133580705
dce.c0000,cffex.IF0000,0.015448361162646878
dce.c0000,czce.MA000,0.015324675324675324
dce.c0000,shfe.zn0000,0.006258503401360543
dce.c0000,cffex.IH0000,-0.00013605442176870748
dce.c0000,czce.WH000,-0.003673469387755102
dce.c0000,czce.AP000,-0.0058008658008658
dce.c0000,shfe.ag0000,-0.007272727272727272
dce.c0000,shfe.au0000,-0.010463821892393322
dce.c0000,czce.CF000,-0.016029684601113172
dce.c0000,dce.pp0000,-0.01683364254792826
dce.c0000,czce.TA000,-0.03623995052566481
dce.c0000,cffex.IC0000,-0.05104514533085961
dce.c0000,shfe.bu0000,-0.057748917748917744
dce.c0000,czce.ZC000,-0.06285714285714286
dce.c0000,cffex.TF0000,-0.06672850958565243
dce.c0000,shfe.ru0000,-0.07525046382189239
dce.c0000,dce.p0000,-0.0804947433518862
dce.c0000,dce.i0000,-0.08646876932591219
dce.c0000,czce.OI000,-0.10800247371675942
dce.c0000,czce.RM000,-0.11021645021645021
dce.c0000,cffex.T0000,-0.11298701298701298
dce.c0000,dce.v0000,-0.11579468150896721
dce.c0000,dce.m0000,-0.1376994434137291
dce.c0000,shfe.hc0000,-0.14644403215831783
dce.c0000,czce.SF000,-0.147730364873222
dce.c0000,czce.SM000,-0.1657513914656772
dce.c0000,shfe.sn0000,-0.24972170686456402
dce.c0000,dce.jd0000,-0.27803339517625225
dce.c0000,czce.RI000,-9999.0
dce.c0000,czce.RS000,-9999.0
dce.c0000,czce.LR000,-9999.0
dce.c0000,czce.JR000,-9999.0
dce.c0000,shfe.sp0000,-9999.0
dce.c0000,czce.CY000,-9999.0
dce.c0000,czce.CJ000,-9999.0
dce.c0000,shfe.wr0000,-9999.0
dce.c0000,ine.sc0000,-9999.0
dce.c0000,cffex.TS0000,-9999.0
dce.c0000,dce.eg0000,-9999.0
dce.c0000,dce.fb0000,-9999.0
dce.c0000,shfe.fu0000,-9999.0
dce.c0000,dce.bb0000,-9999.0
dce.c0000,czce.PM000,-9999.0
