s1,s2,corr
dce.cs0000,shfe.pb0000,0.28075448361162647
dce.cs0000,shfe.rb0000,0.19818181818181818
dce.cs0000,cffex.IF0000,0.1921830550401979
dce.cs0000,cffex.IC0000,0.173469387755102
dce.cs0000,shfe.hc0000,0.15309833024118738
dce.cs0000,czce.OI000,0.1497464440321583
dce.cs0000,shfe.bu0000,0.13711811997526283
dce.cs0000,czce.SM000,0.13114409400123683
dce.cs0000,czce.RM000,0.09114409400123685
dce.cs0000,dce.pp0000,0.07266542980828694
dce.cs0000,shfe.al0000,0.05719233147804576
dce.cs0000,shfe.cu0000,0.05606679035250464
dce.cs0000,dce.y0000,0.055139146567718
dce.cs0000,cffex.TF0000,0.04625850340136054
dce.cs0000,dce.jm0000,0.029672232529375384
dce.cs0000,dce.c0000,0.023586889301175015
dce.cs0000,czce.CF000,0.01772418058132344
dce.cs0000,shfe.zn0000,0.014533085961657389
dce.cs0000,dce.v0000,0.005652442795299937
dce.cs0000,dce.jd0000,-0.003772418058132344
dce.cs0000,shfe.au0000,-0.006827458256029684
dce.cs0000,czce.TA000,-0.011824366110080396
dce.cs0000,shfe.ni0000,-0.013296227581941869
dce.cs0000,dce.a0000,-0.019084724799010515
dce.cs0000,czce.WH000,-0.03194805194805194
dce.cs0000,czce.ZC000,-0.034928880643166356
dce.cs0000,dce.b0000,-0.03606679035250464
dce.cs0000,dce.i0000,-0.03888682745825602
dce.cs0000,shfe.sn0000,-0.040989486703772414
dce.cs0000,dce.l0000,-0.042510822510822506
dce.cs0000,czce.SR000,-0.0498330241187384
dce.cs0000,czce.AP000,-0.050797773654916514
dce.cs0000,czce.MA000,-0.05219542362399505
dce.cs0000,shfe.ag0000,-0.05424860853432282
dce.cs0000,shfe.ru0000,-0.056474953617810755
dce.cs0000,dce.m0000,-0.05875077303648731
dce.cs0000,czce.FG000,-0.06551638837353123
dce.cs0000,czce.SF000,-0.07606679035250463
dce.cs0000,cffex.T0000,-0.09804576376004948
dce.cs0000,cffex.IH0000,-0.12136054421768706
dce.cs0000,dce.j0000,-0.12531849103277676
dce.cs0000,dce.p0000,-0.17815708101422384
dce.cs0000,czce.RI000,-9999.0
dce.cs0000,shfe.fu0000,-9999.0
dce.cs0000,czce.RS000,-9999.0
dce.cs0000,czce.PM000,-9999.0
dce.cs0000,czce.JR000,-9999.0
dce.cs0000,dce.bb0000,-9999.0
dce.cs0000,dce.fb0000,-9999.0
dce.cs0000,dce.eg0000,-9999.0
dce.cs0000,ine.sc0000,-9999.0
dce.cs0000,cffex.TS0000,-9999.0
dce.cs0000,shfe.wr0000,-9999.0
dce.cs0000,czce.CY000,-9999.0
dce.cs0000,czce.LR000,-9999.0
dce.cs0000,shfe.sp0000,-9999.0
dce.cs0000,czce.CJ000,-9999.0
