s1,s2,corr
dce.i0000,dce.v0000,0.1725664811379097
dce.i0000,czce.FG000,0.1716635745207174
dce.i0000,czce.CF000,0.15548546691403833
dce.i0000,cffex.IF0000,0.1381199752628324
dce.i0000,cffex.T0000,0.1209647495361781
dce.i0000,shfe.ni0000,0.1111317254174397
dce.i0000,dce.p0000,0.10311688311688312
dce.i0000,cffex.IH0000,0.08667903525046382
dce.i0000,cffex.IC0000,0.07745207173778601
dce.i0000,czce.ZC000,0.07103277674706246
dce.i0000,czce.SF000,0.057823129251700675
dce.i0000,czce.RM000,0.05128014842300556
dce.i0000,shfe.ag0000,0.03626468769325912
dce.i0000,czce.AP000,0.03606679035250464
dce.i0000,dce.m0000,0.026530612244897955
dce.i0000,shfe.cu0000,0.023500309214594926
dce.i0000,czce.TA000,0.010414347557204698
dce.i0000,dce.pp0000,0.0025726654298082866
dce.i0000,dce.jm0000,-0.002090290661719233
dce.i0000,dce.l0000,-0.003351886209029066
dce.i0000,shfe.rb0000,-0.010030921459492888
dce.i0000,dce.y0000,-0.019925788497217066
dce.i0000,dce.cs0000,-0.03888682745825602
dce.i0000,cffex.TF0000,-0.045516388373531225
dce.i0000,czce.SR000,-0.05557204700061843
dce.i0000,shfe.ru0000,-0.057291280148423
dce.i0000,shfe.bu0000,-0.06138528138528138
dce.i0000,dce.jd0000,-0.0637600494743352
dce.i0000,czce.MA000,-0.06885590599876314
dce.i0000,czce.OI000,-0.07037724180581323
dce.i0000,shfe.sn0000,-0.07272727272727272
dce.i0000,shfe.au0000,-0.07808286951144093
dce.i0000,dce.c0000,-0.08646876932591219
dce.i0000,dce.a0000,-0.11052566481137908
dce.i0000,dce.b0000,-0.11589363017934445
dce.i0000,czce.SM000,-0.11938157081014222
dce.i0000,shfe.al0000,-0.12418058132343847
dce.i0000,czce.WH000,-0.1529004329004329
dce.i0000,shfe.hc0000,-0.16053184910327767
dce.i0000,dce.j0000,-0.1850463821892393
dce.i0000,shfe.pb0000,-0.18771799628942487
dce.i0000,shfe.zn0000,-0.2067408781694496
dce.i0000,dce.fb0000,-9999.0
dce.i0000,dce.bb0000,-9999.0
dce.i0000,cffex.TS0000,-9999.0
dce.i0000,shfe.fu0000,-9999.0
dce.i0000,ine.sc0000,-9999.0
dce.i0000,czce.RS000,-9999.0
dce.i0000,czce.RI000,-9999.0
dce.i0000,czce.PM000,-9999.0
dce.i0000,shfe.sp0000,-9999.0
dce.i0000,czce.LR000,-9999.0
dce.i0000,czce.JR000,-9999.0
dce.i0000,dce.eg0000,-9999.0
dce.i0000,czce.CY000,-9999.0
dce.i0000,czce.CJ000,-9999.0
dce.i0000,shfe.wr0000,-9999.0
