s1,s2,corr
dce.j0000,dce.jm0000,0.1875077303648732
dce.j0000,czce.CF000,0.16551638837353122
dce.j0000,czce.WH000,0.14672850958565242
dce.j0000,shfe.au0000,0.14514533085961656
dce.j0000,czce.ZC000,0.13405071119356834
dce.j0000,czce.AP000,0.13004329004329004
dce.j0000,czce.TA000,0.10436611008039579
dce.j0000,dce.jd0000,0.10202844774273344
dce.j0000,czce.SM000,0.09762523191094619
dce.j0000,shfe.zn0000,0.09414965986394556
dce.j0000,shfe.pb0000,0.08844774273345701
dce.j0000,shfe.al0000,0.08824984539270252
dce.j0000,cffex.TF0000,0.08173160173160172
dce.j0000,dce.c0000,0.06597402597402598
dce.j0000,cffex.T0000,0.05614100185528757
dce.j0000,shfe.hc0000,0.05354359925788497
dce.j0000,dce.l0000,0.0444774273345702
dce.j0000,dce.p0000,0.043685837971552254
dce.j0000,cffex.IH0000,0.04247371675943104
dce.j0000,dce.pp0000,0.03625231910946196
dce.j0000,dce.b0000,0.030983302411873838
dce.j0000,cffex.IF0000,0.029746444032158315
dce.j0000,czce.OI000,0.024675324675324673
dce.j0000,czce.MA000,0.0072603586889301176
dce.j0000,dce.a0000,0.007025355596784168
dce.j0000,czce.SF000,0.0024242424242424242
dce.j0000,dce.m0000,0.0005194805194805195
dce.j0000,shfe.bu0000,-0.0030921459492888066
dce.j0000,shfe.rb0000,-0.007371675943104513
dce.j0000,shfe.cu0000,-0.007705627705627706
dce.j0000,shfe.ag0000,-0.01903525046382189
dce.j0000,czce.RM000,-0.019851576994434135
dce.j0000,shfe.ru0000,-0.03304885590599876
dce.j0000,dce.v0000,-0.06242424242424242
dce.j0000,czce.SR000,-0.06482374768089054
dce.j0000,shfe.sn0000,-0.06750773036487322
dce.j0000,czce.FG000,-0.07385281385281385
dce.j0000,dce.y0000,-0.08525664811379097
dce.j0000,shfe.ni0000,-0.08790352504638219
dce.j0000,dce.cs0000,-0.12531849103277676
dce.j0000,cffex.IC0000,-0.14803957946815086
dce.j0000,dce.i0000,-0.1850463821892393
dce.j0000,czce.RI000,-9999.0
dce.j0000,czce.PM000,-9999.0
dce.j0000,czce.RS000,-9999.0
dce.j0000,dce.fb0000,-9999.0
dce.j0000,czce.LR000,-9999.0
dce.j0000,dce.eg0000,-9999.0
dce.j0000,shfe.wr0000,-9999.0
dce.j0000,shfe.sp0000,-9999.0
dce.j0000,ine.sc0000,-9999.0
dce.j0000,cffex.TS0000,-9999.0
dce.j0000,czce.JR000,-9999.0
dce.j0000,czce.CY000,-9999.0
dce.j0000,czce.CJ000,-9999.0
dce.j0000,shfe.fu0000,-9999.0
dce.j0000,dce.bb0000,-9999.0
