s1,s2,corr
dce.jd0000,dce.m0000,0.21105751391465674
dce.jd0000,cffex.TF0000,0.1810513296227582
dce.jd0000,czce.SF000,0.14827458256029685
dce.jd0000,shfe.al0000,0.13912183055040198
dce.jd0000,dce.pp0000,0.12826221397649967
dce.jd0000,dce.jm0000,0.11692022263450834
dce.jd0000,dce.v0000,0.116734693877551
dce.jd0000,dce.j0000,0.10202844774273344
dce.jd0000,cffex.IC0000,0.09558441558441556
dce.jd0000,shfe.cu0000,0.09155225726654298
dce.jd0000,cffex.T0000,0.08962275819418676
dce.jd0000,czce.ZC000,0.08886827458256029
dce.jd0000,shfe.au0000,0.0869882498453927
dce.jd0000,shfe.zn0000,0.07643784786641929
dce.jd0000,shfe.ru0000,0.07249226963512678
dce.jd0000,shfe.sn0000,0.055151515151515146
dce.jd0000,czce.AP000,0.05111935683364254
dce.jd0000,cffex.IH0000,0.04051948051948051
dce.jd0000,czce.SM000,0.029771181199752625
dce.jd0000,czce.TA000,0.026406926406926406
dce.jd0000,shfe.bu0000,0.00818800247371676
dce.jd0000,dce.y0000,0.002411873840445269
dce.jd0000,shfe.ag0000,-0.0007915893630179344
dce.jd0000,czce.CF000,-0.002288188002473716
dce.jd0000,dce.cs0000,-0.003772418058132344
dce.jd0000,czce.MA000,-0.007000618429189857
dce.jd0000,cffex.IF0000,-0.02196660482374768
dce.jd0000,czce.WH000,-0.022411873840445268
dce.jd0000,czce.SR000,-0.03286332714904144
dce.jd0000,dce.p0000,-0.05324675324675324
dce.jd0000,dce.b0000,-0.06336425479282622
dce.jd0000,dce.i0000,-0.0637600494743352
dce.jd0000,czce.OI000,-0.06542980828695115
dce.jd0000,shfe.pb0000,-0.06555349412492269
dce.jd0000,shfe.hc0000,-0.07543599257884971
dce.jd0000,shfe.rb0000,-0.07584415584415585
dce.jd0000,dce.a0000,-0.11506493506493505
dce.jd0000,czce.RM000,-0.12901669758812614
dce.jd0000,czce.FG000,-0.1482003710575139
dce.jd0000,shfe.ni0000,-0.2142238713667285
dce.jd0000,dce.c0000,-0.27803339517625225
dce.jd0000,dce.l0000,-0.28138528138528135
dce.jd0000,shfe.sp0000,-9999.0
dce.jd0000,shfe.wr0000,-9999.0
dce.jd0000,dce.eg0000,-9999.0
dce.jd0000,dce.fb0000,-9999.0
dce.jd0000,cffex.TS0000,-9999.0
dce.jd0000,ine.sc0000,-9999.0
dce.jd0000,czce.JR000,-9999.0
dce.jd0000,dce.bb0000,-9999.0
dce.jd0000,czce.LR000,-9999.0
dce.jd0000,shfe.fu0000,-9999.0
dce.jd0000,czce.RS000,-9999.0
dce.jd0000,czce.RI000,-9999.0
dce.jd0000,czce.PM000,-9999.0
dce.jd0000,czce.CY000,-9999.0
dce.jd0000,czce.CJ000,-9999.0
