s1,s2,corr
dce.jm0000,dce.j0000,0.1875077303648732
dce.jm0000,czce.WH000,0.13978973407544834
dce.jm0000,dce.b0000,0.13121830550401978
dce.jm0000,czce.MA000,0.12998144712430426
dce.jm0000,czce.ZC000,0.12683982683982684
dce.jm0000,czce.SR000,0.11941867656153371
dce.jm0000,dce.jd0000,0.11692022263450834
dce.jm0000,dce.y0000,0.09623995052566481
dce.jm0000,shfe.au0000,0.0910204081632653
dce.jm0000,cffex.IH0000,0.0707482993197279
dce.jm0000,shfe.rb0000,0.06904143475572046
dce.jm0000,dce.l0000,0.03992578849721707
dce.jm0000,shfe.al0000,0.03605442176870748
dce.jm0000,shfe.hc0000,0.03508967223252937
dce.jm0000,cffex.IC0000,0.03501546072974644
dce.jm0000,cffex.T0000,0.03116883116883117
dce.jm0000,shfe.ru0000,0.03051329622758194
dce.jm0000,dce.cs0000,0.029672232529375384
dce.jm0000,dce.p0000,0.02918985776128633
dce.jm0000,dce.m0000,0.028410636982065553
dce.jm0000,czce.SM000,0.027074829931972785
dce.jm0000,dce.c0000,0.024823747680890535
dce.jm0000,dce.v0000,0.023092145949288805
dce.jm0000,shfe.zn0000,0.012591218305504017
dce.jm0000,czce.SF000,0.007915893630179343
dce.jm0000,dce.a0000,0.005578231292517007
dce.jm0000,shfe.pb0000,0.005269016697588126
dce.jm0000,dce.i0000,-0.002090290661719233
dce.jm0000,cffex.IF0000,-0.0024366110080395794
dce.jm0000,czce.AP000,-0.005293753865182436
dce.jm0000,czce.CF000,-0.017291280148423002
dce.jm0000,czce.RM000,-0.04745825602968459
dce.jm0000,dce.pp0000,-0.054409400123685836
dce.jm0000,cffex.TF0000,-0.06350030921459493
dce.jm0000,shfe.ag0000,-0.06441558441558441
dce.jm0000,czce.FG000,-0.06886827458256028
dce.jm0000,shfe.ni0000,-0.0998886827458256
dce.jm0000,czce.TA000,-0.10112554112554112
dce.jm0000,shfe.bu0000,-0.10680272108843536
dce.jm0000,shfe.sn0000,-0.12708719851576994
dce.jm0000,czce.OI000,-0.13224489795918368
dce.jm0000,shfe.cu0000,-0.2763883735312307
dce.jm0000,shfe.sp0000,-9999.0
dce.jm0000,shfe.fu0000,-9999.0
dce.jm0000,cffex.TS0000,-9999.0
dce.jm0000,ine.sc0000,-9999.0
dce.jm0000,czce.CJ000,-9999.0
dce.jm0000,czce.CY000,-9999.0
dce.jm0000,dce.eg0000,-9999.0
dce.jm0000,czce.RS000,-9999.0
dce.jm0000,dce.fb0000,-9999.0
dce.jm0000,czce.RI000,-9999.0
dce.jm0000,czce.PM000,-9999.0
dce.jm0000,dce.bb0000,-9999.0
dce.jm0000,czce.LR000,-9999.0
dce.jm0000,czce.JR000,-9999.0
dce.jm0000,shfe.wr0000,-9999.0
