s1,s2,corr
dce.l0000,czce.MA000,0.24826221397649967
dce.l0000,czce.SM000,0.20675324675324674
dce.l0000,dce.b0000,0.15756338899196043
dce.l0000,shfe.cu0000,0.10260977118119975
dce.l0000,shfe.bu0000,0.0889548546691404
dce.l0000,dce.pp0000,0.08844774273345701
dce.l0000,dce.c0000,0.08619666048237476
dce.l0000,czce.CF000,0.080717377860235
dce.l0000,shfe.zn0000,0.06962275819418676
dce.l0000,czce.AP000,0.05887445887445887
dce.l0000,dce.j0000,0.0444774273345702
dce.l0000,dce.jm0000,0.03992578849721707
dce.l0000,shfe.pb0000,0.03877551020408163
dce.l0000,czce.WH000,0.031651205936920224
dce.l0000,dce.v0000,0.023141620284477422
dce.l0000,cffex.TF0000,0.014446505875077304
dce.l0000,cffex.IC0000,0.0137291280148423
dce.l0000,shfe.sn0000,0.012752009894867036
dce.l0000,shfe.ni0000,0.00849721706864564
dce.l0000,cffex.IF0000,-0.0015955473098330237
dce.l0000,cffex.IH0000,-0.001929499072356215
dce.l0000,dce.i0000,-0.003351886209029066
dce.l0000,dce.y0000,-0.009449598021026592
dce.l0000,shfe.au0000,-0.010995670995670996
dce.l0000,dce.a0000,-0.028695114409400122
dce.l0000,czce.OI000,-0.03267779839208411
dce.l0000,czce.FG000,-0.042077922077922075
dce.l0000,cffex.T0000,-0.042115027829313534
dce.l0000,dce.cs0000,-0.042510822510822506
dce.l0000,czce.RM000,-0.04608534322820037
dce.l0000,shfe.al0000,-0.0549165120593692
dce.l0000,shfe.hc0000,-0.06952380952380952
dce.l0000,czce.ZC000,-0.07040197897340754
dce.l0000,shfe.rb0000,-0.10989486703772416
dce.l0000,shfe.ru0000,-0.11215831787260358
dce.l0000,shfe.ag0000,-0.12455163883735312
dce.l0000,dce.m0000,-0.13006802721088434
dce.l0000,dce.p0000,-0.14979591836734693
dce.l0000,czce.SF000,-0.17866419294990724
dce.l0000,czce.SR000,-0.1933457019171305
dce.l0000,czce.TA000,-0.20117501546072974
dce.l0000,dce.jd0000,-0.28138528138528135
dce.l0000,shfe.sp0000,-9999.0
dce.l0000,dce.bb0000,-9999.0
dce.l0000,dce.eg0000,-9999.0
dce.l0000,shfe.wr0000,-9999.0
dce.l0000,cffex.TS0000,-9999.0
dce.l0000,ine.sc0000,-9999.0
dce.l0000,czce.JR000,-9999.0
dce.l0000,shfe.fu0000,-9999.0
dce.l0000,dce.fb0000,-9999.0
dce.l0000,czce.RS000,-9999.0
dce.l0000,czce.RI000,-9999.0
dce.l0000,czce.PM000,-9999.0
dce.l0000,czce.CJ000,-9999.0
dce.l0000,czce.CY000,-9999.0
dce.l0000,czce.LR000,-9999.0
