s1,s2,corr
dce.m0000,czce.ZC000,0.21252937538651823
dce.m0000,dce.jd0000,0.21105751391465674
dce.m0000,cffex.TF0000,0.20818800247371677
dce.m0000,cffex.IF0000,0.2032034632034632
dce.m0000,shfe.ru0000,0.18042053184910323
dce.m0000,shfe.pb0000,0.13943104514533083
dce.m0000,czce.RM000,0.12029684601113172
dce.m0000,cffex.IC0000,0.11338280766852195
dce.m0000,shfe.au0000,0.09887445887445886
dce.m0000,dce.a0000,0.08858379715522573
dce.m0000,dce.pp0000,0.08816326530612244
dce.m0000,czce.TA000,0.06826221397649967
dce.m0000,shfe.bu0000,0.06515769944341372
dce.m0000,cffex.T0000,0.06091527520098949
dce.m0000,shfe.al0000,0.0542238713667285
dce.m0000,shfe.cu0000,0.04079158936301794
dce.m0000,dce.jm0000,0.028410636982065553
dce.m0000,dce.i0000,0.026530612244897955
dce.m0000,czce.SM000,0.00901669758812616
dce.m0000,shfe.zn0000,0.0012987012987012987
dce.m0000,dce.j0000,0.0005194805194805195
dce.m0000,czce.SF000,-0.004774273345701917
dce.m0000,czce.WH000,-0.009276437847866418
dce.m0000,czce.AP000,-0.020766852195423624
dce.m0000,czce.OI000,-0.02820037105751391
dce.m0000,czce.MA000,-0.033865182436611005
dce.m0000,shfe.rb0000,-0.039332096474953615
dce.m0000,shfe.ag0000,-0.04023500309214594
dce.m0000,cffex.IH0000,-0.052331478045763755
dce.m0000,dce.cs0000,-0.05875077303648731
dce.m0000,czce.SR000,-0.0626221397649969
dce.m0000,czce.CF000,-0.0729004329004329
dce.m0000,dce.y0000,-0.07965367965367964
dce.m0000,shfe.hc0000,-0.0894743351886209
dce.m0000,shfe.sn0000,-0.09713048855905998
dce.m0000,czce.FG000,-0.10011131725417438
dce.m0000,dce.b0000,-0.1006926406926407
dce.m0000,dce.v0000,-0.12802721088435373
dce.m0000,dce.l0000,-0.13006802721088434
dce.m0000,dce.c0000,-0.1376994434137291
dce.m0000,dce.p0000,-0.1708719851576994
dce.m0000,shfe.ni0000,-0.19965367965367964
dce.m0000,czce.RI000,-9999.0
dce.m0000,czce.RS000,-9999.0
dce.m0000,czce.PM000,-9999.0
dce.m0000,czce.CJ000,-9999.0
dce.m0000,czce.JR000,-9999.0
dce.m0000,shfe.sp0000,-9999.0
dce.m0000,dce.bb0000,-9999.0
dce.m0000,shfe.fu0000,-9999.0
dce.m0000,ine.sc0000,-9999.0
dce.m0000,cffex.TS0000,-9999.0
dce.m0000,czce.LR000,-9999.0
dce.m0000,dce.fb0000,-9999.0
dce.m0000,dce.eg0000,-9999.0
dce.m0000,shfe.wr0000,-9999.0
dce.m0000,czce.CY000,-9999.0
