s1,s2,corr
dce.p0000,shfe.au0000,0.21081014223871364
dce.p0000,czce.TA000,0.1719480519480519
dce.p0000,czce.SR000,0.16269635126777982
dce.p0000,shfe.ni0000,0.11298701298701298
dce.p0000,dce.i0000,0.10311688311688312
dce.p0000,shfe.hc0000,0.09800865800865799
dce.p0000,shfe.cu0000,0.05583178726035869
dce.p0000,cffex.T0000,0.05001855287569573
dce.p0000,dce.j0000,0.043685837971552254
dce.p0000,cffex.IH0000,0.03670995670995671
dce.p0000,dce.jm0000,0.02918985776128633
dce.p0000,shfe.zn0000,0.009771181199752626
dce.p0000,czce.FG000,0.008361162646876932
dce.p0000,dce.a0000,-0.0006431663574520717
dce.p0000,czce.ZC000,-0.0023871366728509583
dce.p0000,shfe.sn0000,-0.020742115027829314
dce.p0000,czce.CF000,-0.020865800865800862
dce.p0000,shfe.rb0000,-0.021533704390847248
dce.p0000,shfe.bu0000,-0.02227581941867656
dce.p0000,shfe.ag0000,-0.027656153370439085
dce.p0000,czce.WH000,-0.03448361162646876
dce.p0000,czce.RM000,-0.03560915275200989
dce.p0000,czce.SF000,-0.03576994434137291
dce.p0000,czce.OI000,-0.03783549783549783
dce.p0000,czce.SM000,-0.04049474335188621
dce.p0000,shfe.ru0000,-0.04257266542980829
dce.p0000,cffex.TF0000,-0.04996907854050711
dce.p0000,dce.jd0000,-0.05324675324675324
dce.p0000,czce.AP000,-0.05899814471243042
dce.p0000,cffex.IC0000,-0.060432900432900435
dce.p0000,czce.MA000,-0.06718614718614718
dce.p0000,dce.v0000,-0.07454545454545454
dce.p0000,dce.c0000,-0.0804947433518862
dce.p0000,dce.y0000,-0.09106988249845392
dce.p0000,shfe.al0000,-0.11747680890538033
dce.p0000,cffex.IF0000,-0.12517006802721087
dce.p0000,shfe.pb0000,-0.13622758194186765
dce.p0000,dce.l0000,-0.14979591836734693
dce.p0000,dce.b0000,-0.1664069264069264
dce.p0000,dce.m0000,-0.1708719851576994
dce.p0000,dce.cs0000,-0.17815708101422384
dce.p0000,dce.pp0000,-0.2383920841063698
dce.p0000,czce.RI000,-9999.0
dce.p0000,czce.PM000,-9999.0
dce.p0000,czce.LR000,-9999.0
dce.p0000,dce.bb0000,-9999.0
dce.p0000,czce.JR000,-9999.0
dce.p0000,dce.fb0000,-9999.0
dce.p0000,dce.eg0000,-9999.0
dce.p0000,shfe.wr0000,-9999.0
dce.p0000,ine.sc0000,-9999.0
dce.p0000,cffex.TS0000,-9999.0
dce.p0000,shfe.sp0000,-9999.0
dce.p0000,czce.CY000,-9999.0
dce.p0000,shfe.fu0000,-9999.0
dce.p0000,czce.CJ000,-9999.0
dce.p0000,czce.RS000,-9999.0
