s1,s2,corr
dce.pp0000,cffex.IF0000,0.27904761904761904
dce.pp0000,cffex.IC0000,0.19923314780457635
dce.pp0000,dce.v0000,0.1771799628942486
dce.pp0000,czce.WH000,0.17469387755102042
dce.pp0000,shfe.cu0000,0.17020408163265305
dce.pp0000,shfe.pb0000,0.1601360544217687
dce.pp0000,czce.CF000,0.13575757575757574
dce.pp0000,dce.jd0000,0.12826221397649967
dce.pp0000,czce.ZC000,0.12458874458874458
dce.pp0000,shfe.zn0000,0.12082869511440938
dce.pp0000,czce.MA000,0.12068027210884352
dce.pp0000,shfe.ru0000,0.09727891156462586
dce.pp0000,shfe.ni0000,0.09632653061224489
dce.pp0000,shfe.al0000,0.09172541743970315
dce.pp0000,dce.l0000,0.08844774273345701
dce.pp0000,dce.m0000,0.08816326530612244
dce.pp0000,dce.b0000,0.0800247371675943
dce.pp0000,dce.cs0000,0.07266542980828694
dce.pp0000,czce.SF000,0.052838589981447116
dce.pp0000,czce.OI000,0.04917748917748918
dce.pp0000,shfe.sn0000,0.042486085343228196
dce.pp0000,dce.j0000,0.03625231910946196
dce.pp0000,dce.y0000,0.023982683982683984
dce.pp0000,czce.SM000,0.018045763760049474
dce.pp0000,dce.i0000,0.0025726654298082866
dce.pp0000,dce.c0000,-0.01683364254792826
dce.pp0000,czce.SR000,-0.02134817563388992
dce.pp0000,shfe.ag0000,-0.021533704390847248
dce.pp0000,shfe.bu0000,-0.022152133580705006
dce.pp0000,cffex.TF0000,-0.026592455163883737
dce.pp0000,czce.FG000,-0.04923933209647494
dce.pp0000,dce.jm0000,-0.054409400123685836
dce.pp0000,cffex.IH0000,-0.055126777983920836
dce.pp0000,shfe.rb0000,-0.05907235621521336
dce.pp0000,czce.TA000,-0.06194186765615337
dce.pp0000,shfe.au0000,-0.07061224489795918
dce.pp0000,czce.AP000,-0.09546072974644404
dce.pp0000,shfe.hc0000,-0.11826839826839826
dce.pp0000,czce.RM000,-0.1981199752628324
dce.pp0000,dce.a0000,-0.22901669758812615
dce.pp0000,dce.p0000,-0.2383920841063698
dce.pp0000,cffex.T0000,-0.2426468769325912
dce.pp0000,czce.PM000,-9999.0
dce.pp0000,dce.fb0000,-9999.0
dce.pp0000,czce.CJ000,-9999.0
dce.pp0000,cffex.TS0000,-9999.0
dce.pp0000,ine.sc0000,-9999.0
dce.pp0000,czce.CY000,-9999.0
dce.pp0000,shfe.wr0000,-9999.0
dce.pp0000,czce.JR000,-9999.0
dce.pp0000,czce.LR000,-9999.0
dce.pp0000,dce.eg0000,-9999.0
dce.pp0000,shfe.sp0000,-9999.0
dce.pp0000,czce.RS000,-9999.0
dce.pp0000,dce.bb0000,-9999.0
dce.pp0000,czce.RI000,-9999.0
dce.pp0000,shfe.fu0000,-9999.0
