s1,s2,corr
dce.v0000,czce.CF000,0.22335188620902904
dce.v0000,czce.AP000,0.19219542362399503
dce.v0000,czce.MA000,0.18488559059987633
dce.v0000,dce.pp0000,0.1771799628942486
dce.v0000,dce.i0000,0.1725664811379097
dce.v0000,dce.y0000,0.13041434755720469
dce.v0000,shfe.sn0000,0.12404452690166975
dce.v0000,cffex.IF0000,0.1232034632034632
dce.v0000,dce.jd0000,0.116734693877551
dce.v0000,czce.WH000,0.10288188002473718
dce.v0000,czce.RM000,0.09061224489795917
dce.v0000,cffex.IH0000,0.06752009894867037
dce.v0000,shfe.hc0000,0.06494743351886208
dce.v0000,shfe.al0000,0.06252319109461967
dce.v0000,shfe.cu0000,0.05653679653679653
dce.v0000,shfe.zn0000,0.04127396413110698
dce.v0000,shfe.ni0000,0.039022881880024736
dce.v0000,shfe.ag0000,0.03745207173778602
dce.v0000,dce.l0000,0.023141620284477422
dce.v0000,dce.jm0000,0.023092145949288805
dce.v0000,cffex.IC0000,0.018775510204081632
dce.v0000,czce.TA000,0.017427334570191712
dce.v0000,dce.b0000,0.016623376623376623
dce.v0000,czce.FG000,0.007470624613481756
dce.v0000,dce.cs0000,0.005652442795299937
dce.v0000,shfe.rb0000,0.0006431663574520717
dce.v0000,czce.OI000,-0.0014842300556586268
dce.v0000,czce.SR000,-0.014545454545454544
dce.v0000,czce.SM000,-0.021038961038961038
dce.v0000,shfe.ru0000,-0.021125541125541124
dce.v0000,dce.a0000,-0.022028447742733458
dce.v0000,czce.SF000,-0.02713667285095856
dce.v0000,czce.ZC000,-0.04121212121212121
dce.v0000,dce.j0000,-0.06242424242424242
dce.v0000,cffex.T0000,-0.06963512677798392
dce.v0000,shfe.au0000,-0.0707977736549165
dce.v0000,shfe.bu0000,-0.07188620902906616
dce.v0000,dce.p0000,-0.07454545454545454
dce.v0000,cffex.TF0000,-0.07604205318491034
dce.v0000,dce.c0000,-0.11579468150896721
dce.v0000,dce.m0000,-0.12802721088435373
dce.v0000,shfe.pb0000,-0.15405071119356833
dce.v0000,czce.RI000,-9999.0
dce.v0000,dce.fb0000,-9999.0
dce.v0000,czce.RS000,-9999.0
dce.v0000,czce.PM000,-9999.0
dce.v0000,dce.bb0000,-9999.0
dce.v0000,czce.LR000,-9999.0
dce.v0000,czce.JR000,-9999.0
dce.v0000,shfe.fu0000,-9999.0
dce.v0000,czce.CY000,-9999.0
dce.v0000,ine.sc0000,-9999.0
dce.v0000,cffex.TS0000,-9999.0
dce.v0000,czce.CJ000,-9999.0
dce.v0000,shfe.sp0000,-9999.0
dce.v0000,shfe.wr0000,-9999.0
dce.v0000,dce.eg0000,-9999.0
