s1,s2,corr
dce.y0000,czce.FG000,0.17619047619047618
dce.y0000,shfe.sn0000,0.16944959802102658
dce.y0000,dce.v0000,0.13041434755720469
dce.y0000,cffex.IF0000,0.11537414965986392
dce.y0000,shfe.ag0000,0.10493506493506494
dce.y0000,czce.RM000,0.1040321583178726
dce.y0000,dce.jm0000,0.09623995052566481
dce.y0000,czce.WH000,0.09034013605442177
dce.y0000,dce.c0000,0.08552875695732838
dce.y0000,shfe.au0000,0.0767965367965368
dce.y0000,czce.SM000,0.06065553494124923
dce.y0000,dce.cs0000,0.055139146567718
dce.y0000,cffex.IC0000,0.05459492888064316
dce.y0000,shfe.al0000,0.04738404452690166
dce.y0000,shfe.rb0000,0.044168212739641305
dce.y0000,shfe.hc0000,0.0422387136672851
dce.y0000,dce.pp0000,0.023982683982683984
dce.y0000,dce.b0000,0.012615955473098331
dce.y0000,dce.jd0000,0.002411873840445269
dce.y0000,cffex.T0000,-0.005664811379097094
dce.y0000,dce.l0000,-0.009449598021026592
dce.y0000,czce.OI000,-0.01110698824984539
dce.y0000,czce.MA000,-0.011329622758194187
dce.y0000,cffex.IH0000,-0.019369202226345084
dce.y0000,dce.i0000,-0.019925788497217066
dce.y0000,czce.TA000,-0.025961657390228817
dce.y0000,czce.CF000,-0.026617192331478044
dce.y0000,shfe.pb0000,-0.04333951762523191
dce.y0000,dce.a0000,-0.05332096474953617
dce.y0000,shfe.cu0000,-0.05602968460111317
dce.y0000,czce.AP000,-0.05856524427952999
dce.y0000,shfe.zn0000,-0.05863945578231292
dce.y0000,czce.SF000,-0.061917130488559055
dce.y0000,cffex.TF0000,-0.07909709338280767
dce.y0000,dce.m0000,-0.07965367965367964
dce.y0000,dce.j0000,-0.08525664811379097
dce.y0000,shfe.bu0000,-0.08989486703772417
dce.y0000,dce.p0000,-0.09106988249845392
dce.y0000,czce.ZC000,-0.12252319109461966
dce.y0000,shfe.ru0000,-0.13698206555349413
dce.y0000,shfe.ni0000,-0.1507111935683364
dce.y0000,czce.SR000,-0.18547928262213978
dce.y0000,czce.RI000,-9999.0
dce.y0000,czce.PM000,-9999.0
dce.y0000,czce.RS000,-9999.0
dce.y0000,czce.LR000,-9999.0
dce.y0000,shfe.fu0000,-9999.0
dce.y0000,czce.JR000,-9999.0
dce.y0000,dce.eg0000,-9999.0
dce.y0000,czce.CY000,-9999.0
dce.y0000,ine.sc0000,-9999.0
dce.y0000,cffex.TS0000,-9999.0
dce.y0000,czce.CJ000,-9999.0
dce.y0000,shfe.sp0000,-9999.0
dce.y0000,dce.bb0000,-9999.0
dce.y0000,dce.fb0000,-9999.0
dce.y0000,shfe.wr0000,-9999.0
