s1,s2,corr
shfe.ag0000,cffex.T0000,0.18826221397649967
shfe.ag0000,shfe.sn0000,0.16776747062461347
shfe.ag0000,czce.FG000,0.15309833024118738
shfe.ag0000,czce.OI000,0.12351267779839208
shfe.ag0000,dce.y0000,0.10493506493506494
shfe.ag0000,shfe.cu0000,0.09367965367965368
shfe.ag0000,czce.SM000,0.08667903525046382
shfe.ag0000,czce.SF000,0.07481756338899194
shfe.ag0000,shfe.al0000,0.0726777983920841
shfe.ag0000,czce.RM000,0.06926406926406925
shfe.ag0000,cffex.IH0000,0.06520717377860234
shfe.ag0000,czce.CF000,0.051490414347557203
shfe.ag0000,czce.TA000,0.04758194186765616
shfe.ag0000,dce.v0000,0.03745207173778602
shfe.ag0000,dce.i0000,0.03626468769325912
shfe.ag0000,dce.a0000,0.031601731601731596
shfe.ag0000,shfe.au0000,0.02786641929499072
shfe.ag0000,czce.SR000,0.01344465058750773
shfe.ag0000,shfe.rb0000,0.008324056895485465
shfe.ag0000,dce.jd0000,-0.0007915893630179344
shfe.ag0000,dce.c0000,-0.007272727272727272
shfe.ag0000,dce.b0000,-0.010055658627087198
shfe.ag0000,dce.j0000,-0.01903525046382189
shfe.ag0000,czce.WH000,-0.021410018552875696
shfe.ag0000,dce.pp0000,-0.021533704390847248
shfe.ag0000,czce.MA000,-0.027606679035250464
shfe.ag0000,dce.p0000,-0.027656153370439085
shfe.ag0000,cffex.IF0000,-0.03150278293135436
shfe.ag0000,dce.m0000,-0.04023500309214594
shfe.ag0000,shfe.pb0000,-0.05105751391465676
shfe.ag0000,dce.cs0000,-0.05424860853432282
shfe.ag0000,dce.jm0000,-0.06441558441558441
shfe.ag0000,shfe.hc0000,-0.07182436611008039
shfe.ag0000,cffex.IC0000,-0.07297464440321583
shfe.ag0000,czce.AP000,-0.08636982065553495
shfe.ag0000,shfe.zn0000,-0.10228818800247372
shfe.ag0000,shfe.ru0000,-0.10554112554112555
shfe.ag0000,dce.l0000,-0.12455163883735312
shfe.ag0000,shfe.bu0000,-0.13534941249226962
shfe.ag0000,shfe.ni0000,-0.14312925170068028
shfe.ag0000,czce.ZC000,-0.14384662956091526
shfe.ag0000,cffex.TF0000,-0.21348175633889915
shfe.ag0000,czce.CJ000,-9999.0
shfe.ag0000,dce.bb0000,-9999.0
shfe.ag0000,shfe.fu0000,-9999.0
shfe.ag0000,cffex.TS0000,-9999.0
shfe.ag0000,ine.sc0000,-9999.0
shfe.ag0000,czce.LR000,-9999.0
shfe.ag0000,dce.eg0000,-9999.0
shfe.ag0000,czce.CY000,-9999.0
shfe.ag0000,dce.fb0000,-9999.0
shfe.ag0000,shfe.sp0000,-9999.0
shfe.ag0000,czce.RS000,-9999.0
shfe.ag0000,shfe.wr0000,-9999.0
shfe.ag0000,czce.JR000,-9999.0
shfe.ag0000,czce.PM000,-9999.0
shfe.ag0000,czce.RI000,-9999.0
