s1,s2,corr
shfe.al0000,czce.CF000,0.30688930117501545
shfe.al0000,shfe.pb0000,0.18876932591218304
shfe.al0000,shfe.zn0000,0.1797031539888683
shfe.al0000,czce.FG000,0.1441187384044527
shfe.al0000,dce.jd0000,0.13912183055040198
shfe.al0000,czce.OI000,0.1325417439703154
shfe.al0000,czce.SF000,0.10068027210884353
shfe.al0000,czce.TA000,0.09246753246753246
shfe.al0000,dce.pp0000,0.09172541743970315
shfe.al0000,dce.j0000,0.08824984539270252
shfe.al0000,dce.b0000,0.07662337662337661
shfe.al0000,shfe.bu0000,0.07633889919604206
shfe.al0000,shfe.ag0000,0.0726777983920841
shfe.al0000,dce.v0000,0.06252319109461967
shfe.al0000,dce.cs0000,0.05719233147804576
shfe.al0000,dce.m0000,0.0542238713667285
shfe.al0000,dce.y0000,0.04738404452690166
shfe.al0000,dce.jm0000,0.03605442176870748
shfe.al0000,dce.c0000,0.03392702535559678
shfe.al0000,cffex.IH0000,0.027717996289424857
shfe.al0000,cffex.TF0000,0.02108843537414966
shfe.al0000,shfe.ru0000,0.017860235003092143
shfe.al0000,cffex.T0000,0.016462585034013603
shfe.al0000,czce.ZC000,0.012863327149041434
shfe.al0000,shfe.rb0000,0.012244897959183673
shfe.al0000,czce.RM000,-0.006456400742115027
shfe.al0000,czce.SR000,-0.01593073593073593
shfe.al0000,czce.SM000,-0.01938157081014224
shfe.al0000,shfe.cu0000,-0.02022263450834879
shfe.al0000,czce.WH000,-0.02346320346320346
shfe.al0000,czce.MA000,-0.04808905380333951
shfe.al0000,shfe.sn0000,-0.05042671614100185
shfe.al0000,shfe.hc0000,-0.05463203463203463
shfe.al0000,dce.l0000,-0.0549165120593692
shfe.al0000,cffex.IC0000,-0.06494743351886208
shfe.al0000,cffex.IF0000,-0.06608534322820037
shfe.al0000,shfe.ni0000,-0.08471243042671614
shfe.al0000,dce.p0000,-0.11747680890538033
shfe.al0000,dce.i0000,-0.12418058132343847
shfe.al0000,shfe.au0000,-0.13442176870748299
shfe.al0000,dce.a0000,-0.16518243661100804
shfe.al0000,czce.AP000,-0.21130488559059987
shfe.al0000,shfe.wr0000,-9999.0
shfe.al0000,shfe.sp0000,-9999.0
shfe.al0000,dce.bb0000,-9999.0
shfe.al0000,cffex.TS0000,-9999.0
shfe.al0000,ine.sc0000,-9999.0
shfe.al0000,czce.LR000,-9999.0
shfe.al0000,czce.JR000,-9999.0
shfe.al0000,czce.CJ000,-9999.0
shfe.al0000,shfe.fu0000,-9999.0
shfe.al0000,czce.RS000,-9999.0
shfe.al0000,czce.CY000,-9999.0
shfe.al0000,czce.RI000,-9999.0
shfe.al0000,czce.PM000,-9999.0
shfe.al0000,dce.fb0000,-9999.0
shfe.al0000,dce.eg0000,-9999.0
