s1,s2,corr
shfe.au0000,dce.p0000,0.21081014223871364
shfe.au0000,dce.j0000,0.14514533085961656
shfe.au0000,cffex.IH0000,0.1307730364873222
shfe.au0000,czce.RM000,0.11741496598639455
shfe.au0000,dce.a0000,0.09970315398886827
shfe.au0000,dce.m0000,0.09887445887445886
shfe.au0000,czce.OI000,0.09840445269016697
shfe.au0000,dce.jm0000,0.0910204081632653
shfe.au0000,dce.jd0000,0.0869882498453927
shfe.au0000,dce.y0000,0.0767965367965368
shfe.au0000,shfe.hc0000,0.07360544217687075
shfe.au0000,cffex.T0000,0.06055658627087198
shfe.au0000,czce.WH000,0.03909709338280767
shfe.au0000,shfe.ru0000,0.033815708101422384
shfe.au0000,shfe.ag0000,0.02786641929499072
shfe.au0000,shfe.bu0000,0.016561533704390844
shfe.au0000,czce.CF000,0.016066790352504638
shfe.au0000,czce.AP000,0.016066790352504638
shfe.au0000,cffex.IF0000,0.00826221397649969
shfe.au0000,shfe.zn0000,-0.0016326530612244896
shfe.au0000,dce.cs0000,-0.006827458256029684
shfe.au0000,czce.ZC000,-0.010265924551638836
shfe.au0000,dce.c0000,-0.010463821892393322
shfe.au0000,dce.l0000,-0.010995670995670996
shfe.au0000,cffex.TF0000,-0.012653061224489797
shfe.au0000,czce.SR000,-0.012875695732838588
shfe.au0000,shfe.pb0000,-0.013704390847247989
shfe.au0000,shfe.cu0000,-0.023302411873840446
shfe.au0000,czce.TA000,-0.02432900432900433
shfe.au0000,czce.MA000,-0.03240568954854669
shfe.au0000,shfe.rb0000,-0.034397031539888684
shfe.au0000,czce.FG000,-0.034582560296846004
shfe.au0000,shfe.ni0000,-0.0549165120593692
shfe.au0000,dce.pp0000,-0.07061224489795918
shfe.au0000,dce.v0000,-0.0707977736549165
shfe.au0000,shfe.sn0000,-0.07443413729128014
shfe.au0000,dce.i0000,-0.07808286951144093
shfe.au0000,czce.SM000,-0.10611008039579467
shfe.au0000,shfe.al0000,-0.13442176870748299
shfe.au0000,cffex.IC0000,-0.1372418058132344
shfe.au0000,dce.b0000,-0.20416821273964128
shfe.au0000,czce.SF000,-0.24854669140383426
shfe.au0000,czce.PM000,-9999.0
shfe.au0000,ine.sc0000,-9999.0
shfe.au0000,shfe.fu0000,-9999.0
shfe.au0000,czce.JR000,-9999.0
shfe.au0000,shfe.sp0000,-9999.0
shfe.au0000,shfe.wr0000,-9999.0
shfe.au0000,cffex.TS0000,-9999.0
shfe.au0000,dce.fb0000,-9999.0
shfe.au0000,dce.eg0000,-9999.0
shfe.au0000,czce.RI000,-9999.0
shfe.au0000,dce.bb0000,-9999.0
shfe.au0000,czce.CJ000,-9999.0
shfe.au0000,czce.RS000,-9999.0
shfe.au0000,czce.LR000,-9999.0
shfe.au0000,czce.CY000,-9999.0
