s1,s2,corr
shfe.bu0000,czce.TA000,0.20491032776747062
shfe.bu0000,czce.RM000,0.1524551638837353
shfe.bu0000,dce.cs0000,0.13711811997526283
shfe.bu0000,shfe.cu0000,0.12957328385899813
shfe.bu0000,shfe.zn0000,0.1011379097093383
shfe.bu0000,shfe.pb0000,0.0964625850340136
shfe.bu0000,czce.SM000,0.08964749536178107
shfe.bu0000,dce.l0000,0.0889548546691404
shfe.bu0000,shfe.al0000,0.07633889919604206
shfe.bu0000,shfe.rb0000,0.0652195423623995
shfe.bu0000,dce.m0000,0.06515769944341372
shfe.bu0000,cffex.TF0000,0.04081632653061224
shfe.bu0000,shfe.hc0000,0.03840445269016698
shfe.bu0000,czce.ZC000,0.03443413729128014
shfe.bu0000,czce.WH000,0.019690785405071118
shfe.bu0000,czce.SR000,0.018194186765615336
shfe.bu0000,shfe.au0000,0.016561533704390844
shfe.bu0000,czce.CF000,0.01429808286951144
shfe.bu0000,dce.jd0000,0.00818800247371676
shfe.bu0000,shfe.sn0000,0.006567717996289425
shfe.bu0000,czce.SF000,-0.0005318491032776748
shfe.bu0000,dce.j0000,-0.0030921459492888066
shfe.bu0000,cffex.IC0000,-0.005343228200371058
shfe.bu0000,czce.OI000,-0.007445887445887445
shfe.bu0000,cffex.IF0000,-0.021434755720470003
shfe.bu0000,dce.pp0000,-0.022152133580705006
shfe.bu0000,dce.p0000,-0.02227581941867656
shfe.bu0000,czce.MA000,-0.028633271490414346
shfe.bu0000,dce.b0000,-0.0319604205318491
shfe.bu0000,dce.c0000,-0.057748917748917744
shfe.bu0000,czce.FG000,-0.06106369820655535
shfe.bu0000,czce.AP000,-0.061286332714904135
shfe.bu0000,dce.i0000,-0.06138528138528138
shfe.bu0000,cffex.T0000,-0.06351267779839208
shfe.bu0000,dce.v0000,-0.07188620902906616
shfe.bu0000,shfe.ni0000,-0.07642547928262214
shfe.bu0000,dce.y0000,-0.08989486703772417
shfe.bu0000,dce.jm0000,-0.10680272108843536
shfe.bu0000,shfe.ag0000,-0.13534941249226962
shfe.bu0000,shfe.ru0000,-0.19965367965367964
shfe.bu0000,cffex.IH0000,-0.2004081632653061
shfe.bu0000,dce.a0000,-0.2135064935064935
shfe.bu0000,dce.bb0000,-9999.0
shfe.bu0000,shfe.fu0000,-9999.0
shfe.bu0000,czce.CJ000,-9999.0
shfe.bu0000,czce.CY000,-9999.0
shfe.bu0000,cffex.TS0000,-9999.0
shfe.bu0000,ine.sc0000,-9999.0
shfe.bu0000,shfe.sp0000,-9999.0
shfe.bu0000,czce.PM000,-9999.0
shfe.bu0000,shfe.wr0000,-9999.0
shfe.bu0000,dce.eg0000,-9999.0
shfe.bu0000,dce.fb0000,-9999.0
shfe.bu0000,czce.RS000,-9999.0
shfe.bu0000,czce.JR000,-9999.0
shfe.bu0000,czce.LR000,-9999.0
shfe.bu0000,czce.RI000,-9999.0
