s1,s2,corr
shfe.cu0000,czce.FG000,0.17447124304267161
shfe.cu0000,dce.pp0000,0.17020408163265305
shfe.cu0000,cffex.TF0000,0.16846011131725414
shfe.cu0000,czce.SR000,0.1673716759431045
shfe.cu0000,czce.SF000,0.15907235621521335
shfe.cu0000,czce.WH000,0.13332096474953617
shfe.cu0000,shfe.bu0000,0.12957328385899813
shfe.cu0000,czce.TA000,0.11918367346938774
shfe.cu0000,dce.l0000,0.10260977118119975
shfe.cu0000,shfe.ag0000,0.09367965367965368
shfe.cu0000,dce.jd0000,0.09155225726654298
shfe.cu0000,shfe.ni0000,0.0910204081632653
shfe.cu0000,shfe.zn0000,0.09067408781694494
shfe.cu0000,czce.CF000,0.08801484230055658
shfe.cu0000,czce.OI000,0.057711811997526286
shfe.cu0000,dce.v0000,0.05653679653679653
shfe.cu0000,dce.cs0000,0.05606679035250464
shfe.cu0000,dce.p0000,0.05583178726035869
shfe.cu0000,shfe.pb0000,0.04646876932591218
shfe.cu0000,dce.m0000,0.04079158936301794
shfe.cu0000,dce.c0000,0.035856524427953
shfe.cu0000,dce.i0000,0.023500309214594926
shfe.cu0000,czce.MA000,-0.0050834879406307975
shfe.cu0000,dce.j0000,-0.007705627705627706
shfe.cu0000,cffex.IC0000,-0.009610389610389609
shfe.cu0000,shfe.sn0000,-0.010426716141001855
shfe.cu0000,shfe.al0000,-0.02022263450834879
shfe.cu0000,czce.RM000,-0.02173160173160173
shfe.cu0000,shfe.au0000,-0.023302411873840446
shfe.cu0000,czce.AP000,-0.023995052566481136
shfe.cu0000,cffex.T0000,-0.05516388373531231
shfe.cu0000,dce.y0000,-0.05602968460111317
shfe.cu0000,cffex.IF0000,-0.061892393320964745
shfe.cu0000,shfe.hc0000,-0.07807050092764377
shfe.cu0000,cffex.IH0000,-0.07923314780457638
shfe.cu0000,czce.SM000,-0.09434755720470006
shfe.cu0000,shfe.ru0000,-0.1129004329004329
shfe.cu0000,shfe.rb0000,-0.12371057513914654
shfe.cu0000,dce.b0000,-0.12738404452690166
shfe.cu0000,czce.ZC000,-0.15083487940630796
shfe.cu0000,dce.a0000,-0.1699938157081014
shfe.cu0000,dce.jm0000,-0.2763883735312307
shfe.cu0000,shfe.wr0000,-9999.0
shfe.cu0000,cffex.TS0000,-9999.0
shfe.cu0000,ine.sc0000,-9999.0
shfe.cu0000,shfe.fu0000,-9999.0
shfe.cu0000,czce.RI000,-9999.0
shfe.cu0000,dce.eg0000,-9999.0
shfe.cu0000,czce.RS000,-9999.0
shfe.cu0000,czce.PM000,-9999.0
shfe.cu0000,dce.fb0000,-9999.0
shfe.cu0000,czce.LR000,-9999.0
shfe.cu0000,czce.JR000,-9999.0
shfe.cu0000,czce.CY000,-9999.0
shfe.cu0000,shfe.sp0000,-9999.0
shfe.cu0000,dce.bb0000,-9999.0
shfe.cu0000,czce.CJ000,-9999.0
