s1,s2,corr
shfe.hc0000,czce.AP000,0.27960420531849106
shfe.hc0000,czce.SR000,0.25224489795918364
shfe.hc0000,dce.a0000,0.234743351886209
shfe.hc0000,czce.ZC000,0.16117501546072974
shfe.hc0000,dce.cs0000,0.15309833024118738
shfe.hc0000,czce.RM000,0.10696351267779838
shfe.hc0000,shfe.sn0000,0.10306740878169449
shfe.hc0000,dce.p0000,0.09800865800865799
shfe.hc0000,czce.CF000,0.09427334570191713
shfe.hc0000,czce.SM000,0.08044526901669759
shfe.hc0000,cffex.IH0000,0.07837971552257265
shfe.hc0000,shfe.au0000,0.07360544217687075
shfe.hc0000,shfe.rb0000,0.06834879406307977
shfe.hc0000,dce.v0000,0.06494743351886208
shfe.hc0000,dce.j0000,0.05354359925788497
shfe.hc0000,czce.WH000,0.051651205936920214
shfe.hc0000,cffex.T0000,0.04863327149041434
shfe.hc0000,dce.y0000,0.0422387136672851
shfe.hc0000,shfe.zn0000,0.040037105751391466
shfe.hc0000,shfe.bu0000,0.03840445269016698
shfe.hc0000,dce.b0000,0.03647495361781076
shfe.hc0000,dce.jm0000,0.03508967223252937
shfe.hc0000,czce.OI000,0.03506493506493506
shfe.hc0000,czce.TA000,0.0030674087816944954
shfe.hc0000,shfe.pb0000,-0.005578231292517007
shfe.hc0000,shfe.ni0000,-0.01721706864564007
shfe.hc0000,cffex.IC0000,-0.026196660482374765
shfe.hc0000,cffex.TF0000,-0.038441558441558436
shfe.hc0000,cffex.IF0000,-0.046580086580086576
shfe.hc0000,czce.SF000,-0.05298701298701298
shfe.hc0000,shfe.al0000,-0.05463203463203463
shfe.hc0000,dce.l0000,-0.06952380952380952
shfe.hc0000,shfe.ag0000,-0.07182436611008039
shfe.hc0000,dce.jd0000,-0.07543599257884971
shfe.hc0000,shfe.cu0000,-0.07807050092764377
shfe.hc0000,czce.FG000,-0.08667903525046382
shfe.hc0000,dce.m0000,-0.0894743351886209
shfe.hc0000,czce.MA000,-0.11575757575757574
shfe.hc0000,dce.pp0000,-0.11826839826839826
shfe.hc0000,shfe.ru0000,-0.12578849721706864
shfe.hc0000,dce.c0000,-0.14644403215831783
shfe.hc0000,dce.i0000,-0.16053184910327767
shfe.hc0000,czce.RI000,-9999.0
shfe.hc0000,czce.PM000,-9999.0
shfe.hc0000,czce.RS000,-9999.0
shfe.hc0000,czce.CY000,-9999.0
shfe.hc0000,dce.bb0000,-9999.0
shfe.hc0000,dce.fb0000,-9999.0
shfe.hc0000,dce.eg0000,-9999.0
shfe.hc0000,shfe.wr0000,-9999.0
shfe.hc0000,ine.sc0000,-9999.0
shfe.hc0000,cffex.TS0000,-9999.0
shfe.hc0000,shfe.sp0000,-9999.0
shfe.hc0000,czce.LR000,-9999.0
shfe.hc0000,shfe.fu0000,-9999.0
shfe.hc0000,czce.JR000,-9999.0
shfe.hc0000,czce.CJ000,-9999.0
