s1,s2,corr
shfe.pb0000,dce.cs0000,0.28075448361162647
shfe.pb0000,shfe.al0000,0.18876932591218304
shfe.pb0000,dce.pp0000,0.1601360544217687
shfe.pb0000,dce.m0000,0.13943104514533083
shfe.pb0000,czce.ZC000,0.12896722325293755
shfe.pb0000,cffex.IC0000,0.1279035250463822
shfe.pb0000,shfe.zn0000,0.1209647495361781
shfe.pb0000,shfe.bu0000,0.0964625850340136
shfe.pb0000,dce.j0000,0.08844774273345701
shfe.pb0000,dce.c0000,0.07610389610389609
shfe.pb0000,czce.SM000,0.0749412492269635
shfe.pb0000,czce.RM000,0.05098330241187383
shfe.pb0000,shfe.cu0000,0.04646876932591218
shfe.pb0000,dce.l0000,0.03877551020408163
shfe.pb0000,cffex.IF0000,0.03706864564007421
shfe.pb0000,czce.TA000,0.02846011131725417
shfe.pb0000,czce.SR000,0.015027829313543597
shfe.pb0000,czce.MA000,0.006233766233766234
shfe.pb0000,dce.jm0000,0.005269016697588126
shfe.pb0000,dce.b0000,0.0050092764378478665
shfe.pb0000,czce.AP000,0.0006307977736549164
shfe.pb0000,shfe.rb0000,-0.004143475572047001
shfe.pb0000,shfe.hc0000,-0.005578231292517007
shfe.pb0000,shfe.au0000,-0.013704390847247989
shfe.pb0000,dce.y0000,-0.04333951762523191
shfe.pb0000,czce.FG000,-0.04910327767470624
shfe.pb0000,shfe.ag0000,-0.05105751391465676
shfe.pb0000,shfe.sn0000,-0.058528138528138526
shfe.pb0000,dce.jd0000,-0.06555349412492269
shfe.pb0000,shfe.ru0000,-0.06857142857142856
shfe.pb0000,czce.OI000,-0.06860853432282003
shfe.pb0000,cffex.TF0000,-0.0777612863327149
shfe.pb0000,czce.WH000,-0.10143475572046999
shfe.pb0000,czce.SF000,-0.117291280148423
shfe.pb0000,cffex.IH0000,-0.1284230055658627
shfe.pb0000,dce.p0000,-0.13622758194186765
shfe.pb0000,dce.a0000,-0.14653061224489794
shfe.pb0000,dce.v0000,-0.15405071119356833
shfe.pb0000,shfe.ni0000,-0.1780333951762523
shfe.pb0000,czce.CF000,-0.1832034632034632
shfe.pb0000,dce.i0000,-0.18771799628942487
shfe.pb0000,cffex.T0000,-0.22278293135435992
shfe.pb0000,dce.bb0000,-9999.0
shfe.pb0000,cffex.TS0000,-9999.0
shfe.pb0000,ine.sc0000,-9999.0
shfe.pb0000,shfe.fu0000,-9999.0
shfe.pb0000,czce.RS000,-9999.0
shfe.pb0000,shfe.sp0000,-9999.0
shfe.pb0000,shfe.wr0000,-9999.0
shfe.pb0000,dce.eg0000,-9999.0
shfe.pb0000,czce.RI000,-9999.0
shfe.pb0000,dce.fb0000,-9999.0
shfe.pb0000,czce.LR000,-9999.0
shfe.pb0000,czce.JR000,-9999.0
shfe.pb0000,czce.CY000,-9999.0
shfe.pb0000,czce.CJ000,-9999.0
shfe.pb0000,czce.PM000,-9999.0
