s1,s2,corr
shfe.rb0000,dce.cs0000,0.19818181818181818
shfe.rb0000,czce.AP000,0.14059369202226343
shfe.rb0000,czce.SM000,0.12661719233147803
shfe.rb0000,czce.RM000,0.11090909090909089
shfe.rb0000,czce.WH000,0.1032529375386518
shfe.rb0000,shfe.ni0000,0.07972789115646257
shfe.rb0000,czce.TA000,0.07615337043908471
shfe.rb0000,dce.jm0000,0.06904143475572046
shfe.rb0000,shfe.hc0000,0.06834879406307977
shfe.rb0000,shfe.zn0000,0.06808905380333952
shfe.rb0000,shfe.bu0000,0.0652195423623995
shfe.rb0000,czce.SR000,0.05340754483611626
shfe.rb0000,dce.y0000,0.044168212739641305
shfe.rb0000,czce.SF000,0.03464440321583179
shfe.rb0000,czce.FG000,0.03396413110698825
shfe.rb0000,cffex.TF0000,0.02400742115027829
shfe.rb0000,cffex.T0000,0.023116883116883116
shfe.rb0000,czce.ZC000,0.021323438466295606
shfe.rb0000,dce.c0000,0.0162152133580705
shfe.rb0000,cffex.IC0000,0.015782312925170065
shfe.rb0000,shfe.al0000,0.012244897959183673
shfe.rb0000,shfe.ag0000,0.008324056895485465
shfe.rb0000,dce.a0000,0.0016326530612244896
shfe.rb0000,dce.v0000,0.0006431663574520717
shfe.rb0000,shfe.pb0000,-0.004143475572047001
shfe.rb0000,czce.MA000,-0.005974025974025973
shfe.rb0000,dce.j0000,-0.007371675943104513
shfe.rb0000,dce.i0000,-0.010030921459492888
shfe.rb0000,dce.p0000,-0.021533704390847248
shfe.rb0000,cffex.IF0000,-0.024081632653061222
shfe.rb0000,shfe.sn0000,-0.029573283858998146
shfe.rb0000,czce.CF000,-0.0311317254174397
shfe.rb0000,shfe.au0000,-0.034397031539888684
shfe.rb0000,dce.m0000,-0.039332096474953615
shfe.rb0000,dce.pp0000,-0.05907235621521336
shfe.rb0000,dce.b0000,-0.06592455163883734
shfe.rb0000,dce.jd0000,-0.07584415584415585
shfe.rb0000,czce.OI000,-0.09266542980828694
shfe.rb0000,dce.l0000,-0.10989486703772416
shfe.rb0000,shfe.cu0000,-0.12371057513914654
shfe.rb0000,cffex.IH0000,-0.1404700061842919
shfe.rb0000,shfe.ru0000,-0.18115027829313543
shfe.rb0000,dce.bb0000,-9999.0
shfe.rb0000,cffex.TS0000,-9999.0
shfe.rb0000,ine.sc0000,-9999.0
shfe.rb0000,shfe.fu0000,-9999.0
shfe.rb0000,dce.fb0000,-9999.0
shfe.rb0000,czce.JR000,-9999.0
shfe.rb0000,shfe.sp0000,-9999.0
shfe.rb0000,shfe.wr0000,-9999.0
shfe.rb0000,czce.RS000,-9999.0
shfe.rb0000,dce.eg0000,-9999.0
shfe.rb0000,czce.RI000,-9999.0
shfe.rb0000,czce.PM000,-9999.0
shfe.rb0000,czce.CY000,-9999.0
shfe.rb0000,czce.LR000,-9999.0
shfe.rb0000,czce.CJ000,-9999.0
