s1,s2,corr
shfe.ru0000,dce.m0000,0.18042053184910323
shfe.ru0000,dce.b0000,0.17265306122448978
shfe.ru0000,czce.AP000,0.1631787260358689
shfe.ru0000,czce.SF000,0.1309585652442795
shfe.ru0000,czce.OI000,0.1261595547309833
shfe.ru0000,cffex.T0000,0.12575139146567715
shfe.ru0000,shfe.zn0000,0.11899814471243042
shfe.ru0000,dce.a0000,0.09976499690785404
shfe.ru0000,dce.pp0000,0.09727891156462586
shfe.ru0000,shfe.ni0000,0.09724180581323437
shfe.ru0000,cffex.TF0000,0.094582560296846
shfe.ru0000,cffex.IF0000,0.09276437847866419
shfe.ru0000,dce.jd0000,0.07249226963512678
shfe.ru0000,czce.ZC000,0.04310451453308596
shfe.ru0000,shfe.au0000,0.033815708101422384
shfe.ru0000,dce.jm0000,0.03051329622758194
shfe.ru0000,czce.TA000,0.020717377860235
shfe.ru0000,shfe.al0000,0.017860235003092143
shfe.ru0000,shfe.sn0000,0.007309833024118738
shfe.ru0000,cffex.IC0000,-0.009029066171923315
shfe.ru0000,dce.v0000,-0.021125541125541124
shfe.ru0000,czce.CF000,-0.027940630797773654
shfe.ru0000,czce.MA000,-0.029882498453927025
shfe.ru0000,cffex.IH0000,-0.030389610389610387
shfe.ru0000,dce.j0000,-0.03304885590599876
shfe.ru0000,czce.SR000,-0.038367346938775505
shfe.ru0000,dce.p0000,-0.04257266542980829
shfe.ru0000,dce.cs0000,-0.056474953617810755
shfe.ru0000,dce.i0000,-0.057291280148423
shfe.ru0000,czce.FG000,-0.05737786023500308
shfe.ru0000,shfe.pb0000,-0.06857142857142856
shfe.ru0000,dce.c0000,-0.07525046382189239
shfe.ru0000,shfe.ag0000,-0.10554112554112555
shfe.ru0000,dce.l0000,-0.11215831787260358
shfe.ru0000,shfe.cu0000,-0.1129004329004329
shfe.ru0000,shfe.hc0000,-0.12578849721706864
shfe.ru0000,czce.WH000,-0.12791589363017933
shfe.ru0000,dce.y0000,-0.13698206555349413
shfe.ru0000,czce.RM000,-0.15249226963512677
shfe.ru0000,czce.SM000,-0.16876932591218302
shfe.ru0000,shfe.rb0000,-0.18115027829313543
shfe.ru0000,shfe.bu0000,-0.19965367965367964
shfe.ru0000,shfe.sp0000,-9999.0
shfe.ru0000,czce.CY000,-9999.0
shfe.ru0000,shfe.wr0000,-9999.0
shfe.ru0000,czce.CJ000,-9999.0
shfe.ru0000,shfe.fu0000,-9999.0
shfe.ru0000,cffex.TS0000,-9999.0
shfe.ru0000,ine.sc0000,-9999.0
shfe.ru0000,czce.JR000,-9999.0
shfe.ru0000,czce.PM000,-9999.0
shfe.ru0000,czce.LR000,-9999.0
shfe.ru0000,dce.bb0000,-9999.0
shfe.ru0000,czce.RS000,-9999.0
shfe.ru0000,dce.fb0000,-9999.0
shfe.ru0000,czce.RI000,-9999.0
shfe.ru0000,dce.eg0000,-9999.0
