s1,s2,corr
shfe.sn0000,dce.b0000,0.2599257884972171
shfe.sn0000,czce.RM000,0.17335807050092764
shfe.sn0000,dce.y0000,0.16944959802102658
shfe.sn0000,shfe.ag0000,0.16776747062461347
shfe.sn0000,czce.SM000,0.13141620284477426
shfe.sn0000,czce.OI000,0.12890538033395177
shfe.sn0000,dce.v0000,0.12404452690166975
shfe.sn0000,czce.TA000,0.1038095238095238
shfe.sn0000,shfe.hc0000,0.10306740878169449
shfe.sn0000,czce.CF000,0.0932838589981447
shfe.sn0000,cffex.TF0000,0.09294990723562152
shfe.sn0000,czce.SF000,0.08792826221397648
shfe.sn0000,czce.ZC000,0.05720470006184292
shfe.sn0000,dce.jd0000,0.055151515151515146
shfe.sn0000,dce.pp0000,0.042486085343228196
shfe.sn0000,dce.a0000,0.03995052566481138
shfe.sn0000,dce.l0000,0.012752009894867036
shfe.sn0000,shfe.ru0000,0.007309833024118738
shfe.sn0000,shfe.bu0000,0.006567717996289425
shfe.sn0000,cffex.IH0000,0.0028447742733457015
shfe.sn0000,czce.AP000,0.001805813234384663
shfe.sn0000,czce.MA000,0.001100803957946815
shfe.sn0000,shfe.cu0000,-0.010426716141001855
shfe.sn0000,czce.FG000,-0.018070500927643784
shfe.sn0000,dce.p0000,-0.020742115027829314
shfe.sn0000,shfe.rb0000,-0.029573283858998146
shfe.sn0000,dce.cs0000,-0.040989486703772414
shfe.sn0000,cffex.IC0000,-0.04879406307977737
shfe.sn0000,shfe.al0000,-0.05042671614100185
shfe.sn0000,czce.SR000,-0.053642547928262216
shfe.sn0000,shfe.pb0000,-0.058528138528138526
shfe.sn0000,cffex.T0000,-0.06421768707482993
shfe.sn0000,dce.j0000,-0.06750773036487322
shfe.sn0000,dce.i0000,-0.07272727272727272
shfe.sn0000,shfe.zn0000,-0.07438466295609153
shfe.sn0000,shfe.au0000,-0.07443413729128014
shfe.sn0000,cffex.IF0000,-0.0789486703772418
shfe.sn0000,dce.m0000,-0.09713048855905998
shfe.sn0000,czce.WH000,-0.1020408163265306
shfe.sn0000,shfe.ni0000,-0.1196907854050711
shfe.sn0000,dce.jm0000,-0.12708719851576994
shfe.sn0000,dce.c0000,-0.24972170686456402
shfe.sn0000,dce.eg0000,-9999.0
shfe.sn0000,dce.fb0000,-9999.0
shfe.sn0000,dce.bb0000,-9999.0
shfe.sn0000,cffex.TS0000,-9999.0
shfe.sn0000,ine.sc0000,-9999.0
shfe.sn0000,czce.CY000,-9999.0
shfe.sn0000,czce.CJ000,-9999.0
shfe.sn0000,shfe.fu0000,-9999.0
shfe.sn0000,czce.RS000,-9999.0
shfe.sn0000,czce.RI000,-9999.0
shfe.sn0000,czce.PM000,-9999.0
shfe.sn0000,shfe.wr0000,-9999.0
shfe.sn0000,shfe.sp0000,-9999.0
shfe.sn0000,czce.LR000,-9999.0
shfe.sn0000,czce.JR000,-9999.0
