s1,s2,corr
shfe.zn0000,shfe.al0000,0.1797031539888683
shfe.zn0000,shfe.pb0000,0.1209647495361781
shfe.zn0000,dce.pp0000,0.12082869511440938
shfe.zn0000,shfe.ru0000,0.11899814471243042
shfe.zn0000,shfe.bu0000,0.1011379097093383
shfe.zn0000,dce.j0000,0.09414965986394556
shfe.zn0000,czce.SR000,0.0937786023500309
shfe.zn0000,shfe.cu0000,0.09067408781694494
shfe.zn0000,czce.FG000,0.08602350030921459
shfe.zn0000,dce.b0000,0.07810760667903524
shfe.zn0000,dce.jd0000,0.07643784786641929
shfe.zn0000,dce.l0000,0.06962275819418676
shfe.zn0000,shfe.rb0000,0.06808905380333952
shfe.zn0000,cffex.T0000,0.051267779839208404
shfe.zn0000,dce.v0000,0.04127396413110698
shfe.zn0000,shfe.hc0000,0.040037105751391466
shfe.zn0000,czce.TA000,0.027099567099567096
shfe.zn0000,cffex.TF0000,0.02059369202226345
shfe.zn0000,czce.WH000,0.015695732838589983
shfe.zn0000,dce.cs0000,0.014533085961657389
shfe.zn0000,dce.jm0000,0.012591218305504017
shfe.zn0000,dce.p0000,0.009771181199752626
shfe.zn0000,czce.SM000,0.008893011750154608
shfe.zn0000,dce.c0000,0.006258503401360543
shfe.zn0000,cffex.IC0000,0.0035621521335807045
shfe.zn0000,dce.m0000,0.0012987012987012987
shfe.zn0000,czce.AP000,-0.0013852813852813853
shfe.zn0000,shfe.au0000,-0.0016326530612244896
shfe.zn0000,czce.CF000,-0.006493506493506493
shfe.zn0000,czce.ZC000,-0.016103896103896103
shfe.zn0000,czce.MA000,-0.019282622139764994
shfe.zn0000,shfe.ni0000,-0.05150278293135435
shfe.zn0000,dce.y0000,-0.05863945578231292
shfe.zn0000,cffex.IH0000,-0.06241187384044527
shfe.zn0000,shfe.sn0000,-0.07438466295609153
shfe.zn0000,dce.a0000,-0.0986147186147186
shfe.zn0000,shfe.ag0000,-0.10228818800247372
shfe.zn0000,cffex.IF0000,-0.118008658008658
shfe.zn0000,czce.SF000,-0.1460729746444032
shfe.zn0000,dce.i0000,-0.2067408781694496
shfe.zn0000,czce.RM000,-0.20801484230055658
shfe.zn0000,czce.OI000,-0.2567717996289425
shfe.zn0000,czce.PM000,-9999.0
shfe.zn0000,ine.sc0000,-9999.0
shfe.zn0000,dce.bb0000,-9999.0
shfe.zn0000,dce.fb0000,-9999.0
shfe.zn0000,czce.CJ000,-9999.0
shfe.zn0000,shfe.fu0000,-9999.0
shfe.zn0000,cffex.TS0000,-9999.0
shfe.zn0000,dce.eg0000,-9999.0
shfe.zn0000,czce.CY000,-9999.0
shfe.zn0000,czce.JR000,-9999.0
shfe.zn0000,shfe.sp0000,-9999.0
shfe.zn0000,shfe.wr0000,-9999.0
shfe.zn0000,czce.LR000,-9999.0
shfe.zn0000,czce.RS000,-9999.0
shfe.zn0000,czce.RI000,-9999.0
